Medal,Name,Sport,Event,Date
Gold,Tomoya Ito,Athletics,Men 's 400m T52,12 September
Gold,Tomoya Ito,Athletics,Men 's 800m T52,16 September
Gold,Masashi Ishii,Cycling,Men 's 1 km Time Trial ( LC 3-4 ),9 September
Gold,Takayuki Suzuki,Swimming,Men 's 50m Breaststroke SB3,11 September
Gold,Shingo Kunieda,Wheelchair tennis,Men 's Singles,15 September
Silver,Chieko Kamiya,Archery,Women 's Individual Compound Open,13 September
Silver,Toshihiro Takada,Athletics,Men 's 400m T52,12 September
Silver,Toshihiro Takada,Athletics,Men 's 800m T52,16 September
Silver,Hirokazu Ueyonabaru,Athletics,Men 's Marathon T52,17 September
Silver,Hiroki Sasahara,Athletics,Men 's Marathon T54,17 September
Silver,Atsushi Yamamoto,Athletics,Men 's Long Jump F42/44,14 September
Silver,Tomomi Yamaki,Athletics,Women 's 100m T52,11 September
Silver,Tomomi Yamaki,Athletics,Women 's 200m T52,15 September
Silver,Masaki Fujita,Cycling,Men 's Individual Pursuit ( LC 3 ),9 September
Silver,Masashi Ishii,Cycling,Men 's Individual Pursuit ( CP 4 ),7 September
Silver,Masaki Fujita,Cycling,Men 's 1 km Time Trial ( LC 3-4 ),7 September
Silver,Satoshi Fujimoto,Judo,Men −66 kg,7 September
Silver,Kyosuke Oyama,Swimming,Men 's 50m Butterfly S6,13 September
Silver,Junichi Kawai,Swimming,Men 's 50m Freestyle S11,14 September
Bronze,Toshihiro Takada,Athletics,Men 's Marathon T52,17 September
