Rank,Country,Team,Points
1,England,Roy Fowler Ron Hill Tim Johnston Mike Freary Tim Briault Gerry North,59
2,France,Michel Jazy Guy Texereau Noel Tijou Bernard Maroquin Guy Caillet Yves Martinage,79
3,Morocco,Ben Assou El Ghazi Ahmed Oukbouch Mohamed Bensaid Hammadi Ben Mohamed Mohamed Said Moha Ouali,184
4,Tunisia,Ahmed Zammel Ali Khamassi Hedi Hamrouni Labidi Ayachi Mhedheb Hannachi Rabah Ben Othman,186
5,United States,Tracy Smith Doug Brown Eamon O'Reilly Tom Bache Michael Kimball Herb Lorenz,194
6,Scotland,Lachie Stewart Ian McCafferty Jim Alder John Linaker Andy Brown James Johnstone,202
7,Federal Republic of Germany,Gottfried Arnold Hans Gerlach Hans-Joachim Liess Arno Krausse Alfons Ida Peter Kubicki,269
8,Belgium,Henri Clerckx Leon Moreels Albien van Holsbeek Cyrille van Geert Denis Jouret Frans van der Hoeven,289
9,Ireland,Derek Graham Tom O'Riordan Jim McNamara Harry Simpson Tony Murphy Tony Hopkins,325
10,Italy,Antonio Ambu Luigi Conti Osvaldo Segrada Alberto Bargnani Gioacchino De Palma Donato D'Agostino,345
11,Switzerland,Werner Dössegger Oskar Leupi Hansruedi Knill Hans Rüdisühli Edgar Friedli Walter Dietiker,378
12,Wales,Chris Loosley Gerry Williams Hedydd Davies Fred Bell Roy Mack Tom Edmunds,422
13,Gibraltar,J. Evans J. Macedo A. Ryan J. Chappory Gomez de Torres,567
