Recording or collection,Performer or agent,Year
After You 've Gone,Marion Harris,1918
"Bacon , Beans and Limousines",Will Rogers,"October 18 , 1931"
Begin the Beguine,Artie Shaw,1938
You Are My Sunshine,Jimmie Davis,1940
D-Day Radio Broadcast,George Hicks,"June 5-6 , 1944"
Just Because,Frank Yankovic & His Yanks,1947
South Pacific Original Cast Recording,Original Cast,1949
Descargas : Cuban Jam Sessions in Miniature,Cachao,1957
Tchaikovsky 's Piano Concerto No . 1,Van Cliburn,"April 11 , 1958"
President 's Message Relayed from Atlas Satellite,Dwight D. Eisenhower,"December 19 , 1958"
A Program of Song,Leontyne Price,1959
The Shape of Jazz to Come,Ornette Coleman,1959
Crossing Chilly Jordan,Blackwood Brothers,1960
The Twist,Chubby Checker,1960
Old Time Music at Clarence Ashley 's,"Clarence Ashley , Doc Watson , others",1960-1962
Hoodoo Man Blues,Junior Wells ' Chicago Blues Band feat . Buddy Guy,1965
Sounds of Silence,Simon & Garfunkel,1966
Cheap Thrills,Big Brother and the Holding Company,1968
The Dark Side of the Moon,Pink Floyd,1973
Music Time In Africa,Leo Sarkisian,"July 29 , 1973"
