Name,Age,Species,Date discovered,Country
Mungo Man,50 ± 10 ka,Homo sapiens,1974,Australia
Mt . Circeo 1,50 ± 10 ka,Homo neanderthalensis,1939,Italy
SID-00B,49.2 ± 2.5 ka,Homo neanderthalensis,1994,"Sidrón Cave , Spain"
Kents Cavern 4 maxilla,43.5 ± 2.5 ka,Homo sapiens,1927,UK
Amud 1,41 ka,Homo neanderthalensis,1961,Israel
Neanderthal 1,40 ka,Homo neanderthalensis,1856,Germany
Denisova hominin ( X-Woman ),40 ka,Homo sp . Altai,2008,Russia
hominin toe bone,40 ka,Homo sp . Altai ( possible Neanderthal -Denisovan hybrid ),2010,Russia
Oase 1,42-37 ka,Homo sapiens ( EEMH x Neanderthal hybrid ),2002,Romania
Kostenki-14 ( Markina Gora ),40-37 ka,Homo sapiens ( EEMH ),1954,Russia
SID-20,37.30 ± 0.83 ka,Homo neanderthalensis,1994,"Sidrón Cave , Spain"
Balangoda man,37 ka,Homo sapiens,2012,Sri Lanka
Hofmeyr Skull,36 ka,Homo sapiens,1952,South Africa
Wadjak 1,33 ± 4.5 ka,Homo sapiens ( proto-Australoid ),1888,Indonesia
Red Lady of Paviland,33 ka,Homo sapiens,1823,UK
Yamashita-Cho Man,32 ka,Homo sapiens,1962,Japan
Engis 2,40 ± 10 ka,Homo neanderthalensis,1829,Belgium
Gibraltar 1,40 ± 10 ka,Homo neanderthalensis,1848,Gibraltar
Le Moustier,40 ± 10 ka,Homo neanderthalensis,1909,France
Denisovan tooth,40 ± 10 ka,Homo sp . Altai,2000,Russia
