Team,Manager,Captain,Kit manufacturer,Shirt sponsor
AEK Athens,Massimo Carrera,Petros Mantalos,Capelli,Pame Stoixima
AEL,Michalis Grigoriou,Nikos Karanikas,Legea,Thrakis Gefseis
Aris,Michael Oenning,Georgios Delizisis,Nike,betshop.gr
Asteras Tripolis,Milan Rastavac,Walter Iglesias,Macron,Interwetten
Atromitos,Savvas Pantelidis,Javier Umbides,Nike,betshop.gr
Lamia,Giorgos Petrakis,Vanderson,Macron,N/A
OFI,Georgios Simos,Anestis Nastos,Puma,Stoiximan.gr
Olympiacos,Pedro Martins,Kostas Fortounis,Adidas,Stoiximan.gr
Panathinaikos,Giorgos Donis,Dimitris Kourbelis,Kappa,Pame Stoixima
Panetolikos,Makis Chavos,Jorge Díaz,Givova,N/A
Panionios,Leonidas Vokolos,Panagiotis Korbos,Luanvi,Car.gr
PAOK,Abel Ferreira,Vieirinha,Macron,Stoiximan.gr
Volos,Stefanos Xirofotos,Stergios Dimopoulos,Luanvi,EBOL
Xanthi,Nikos Karageorgiou,Dimos Baxevanidis,Joma,thefoodballer
