Year,Title,Role,Notes
2007,Life,Nancy Wiscinski,Episode : Powerless
2008,Aces ' N ' Eights,Terrified Woman,Television film
2008,ER,Aurora Quill,Episode : Owner of a Broken Heart
2008,CSI : Crime Scene Investigation,Waitress Stephane,Episode : For Gedda
2008,My Name Is Earl,Greta,2 episodes
2008,The Mentalist,Kerry Sheehan,Episode : Red Brick and Ivy
2008-2014,True Blood,Jessica Hamby,70 episodes
2009,Law & Order : Special Victims Unit,Lily Milton,Episode : Solitary
2011,Hell 's Kitchen,Herself,Guest diner
2013,Axe Cop,Best Fairy Ever,Episode : The Dumb List
2015-2018,Daredevil,Karen Page,39 episodes
2017,The Defenders,Karen Page,4 episodes
2017-2019,The Punisher,Karen Page,5 episodes
