Club,Titles,Runners-up,Winning Seasons,Runner-up Seasons
Auckland City,9,-,"2006 , 2009 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017",-
Waitakere United,2,2,"2007 , 2008","2010 , 2013"
Team Wellington,1,3,2018,"2015 , 2016 , 2017"
Adelaide City,1,-,1987,-
South Melbourne,1,-,1999,-
Wollongong Wolves,1,-,2001,-
Sydney FC,1,-,2005,-
Hekari United,1,-,2010,-
Hienghène Sport,1,-,2019,-
Magenta,-,2,-,"2005 , 2019"
Amicale,-,2,-,"2011 , 2014"
University-Mount Wellington,-,1,-,1987
Nadi,-,1,-,1999
Tafea,-,1,-,2001
Pirae,-,1,-,2006
Ba,-,1,-,2007
Kossa,-,1,-,2008
Koloale,-,1,-,2009
Tefana,-,1,-,2012
Lautoka,-,1,-,2018
