City served,Province,ICAO,IATA,Airport name
Bulawayo,Bulawayo,FVBU,BUQ,Joshua Mqabuko Nkomo International Airport
Centenary,Mashonaland Central,FVCN,,Centenary Airport
Chipinge,Manicaland,FVCH,CHJ,Chipinge Airport
Chiredzi,Masvingo,FVCZ,BFO,Buffalo Range Airport
Gweru,Midlands,FVTL,GWE,Gweru-Thornhill Air Base
Harare,Harare,FVHA,HRE,Robert Gabriel Mugabe International Airport formerly Harare International Airport
Harare,Harare,FVCP,,Charles Prince Airport
Hwange ( Hwange National Park ),Matabeleland North,FVWN,HWN,Hwange National Park Airport
Hwange,Matabeleland North,FVWT,WKI,Hwange Town Airport
Kariba,Mashonaland West,FVKB,KAB,Kariba Airport
Kotwa,Mashonaland East,FVOT,,Kotwa Airport
Kwekwe,Midlands,FVKK,,Kwekwe East Airport
Marondera,Mashonaland East,FVMA,,Marondera Airport
Masvingo,Masvingo,FVMV,MVZ,Masvingo Airport
Mhangura,Mashonaland West,,,Mhangura Airport - closed
Mount Darwin,Mashonaland Central,FVMD,,Mount Darwin Airport
Mutare,Manicaland,FVMU,UTA,Mutare Airport
Mutare,Manicaland,FVGR,,Grand Reef Airport
Mutoko,Mashonaland East,FVMT,,Mutoko Airport
Victoria Falls,Matabeleland North,FVFA,VFA,Victoria Falls Airport
