Continent,Confederation,Championship,Teams,Most titles
Africa,CAF,African Cup Winners ' Cup,15-41,Al Ahly ( 4 )
Africa,CAF,CAF Cup,31-37,JS Kabylie ( 3 )
Asia,AFC,Asian Cup Winners ' Cup,17-29,Al-Hilal Yokohama Marinos ( 2 each )
Asia,AFC,AFC President 's Cup,12,Regar TadAZ ( 3 )
Asia,AFC,Asian Super Cup,2,Al-Hilal Suwon Samsung Bluewings ( 2 each )
Europe,UEFA,UEFA Cup Winners ' Cup,32,Barcelona ( 4 )
Europe,UEFA,UEFA Intertoto Cup,50,VfB Stuttgart ( 3 )
North America,CONCACAF,CONCACAF Cup Winners Cup,4-11,Atlético Marte Monterrey Necaxa Tecos América ( 1 each )
North America,CONCACAF,CONCACAF Giants Cup,12,América ( 1 )
Oceania,OFC,Oceania Cup Winners ' Cup,2,Sydney City ( 1 )
South America,CONMEBOL,Supercopa Sudamericana,13-17,Cruzeiro Independiente ( 2 each )
South America,CONMEBOL,Copa CONMEBOL,16,Atlético Mineiro ( 2 )
South America,CONMEBOL,Copa Merconorte,16,Atlético Nacional ( 2 )
South America,CONMEBOL,Copa Mercosur,20,Palmeiras Flamengo San Lorenzo Vasco da Gama ( 1 each )
