TV Studio,Primary Network,Digital Channels,Pay TV
20th Century Fox Animation,Network Ten,7mate Eleven,Fox8 The Comedy Channel
20th Century Fox Television,Seven Network ( old programs only ) Network Ten,7mate Eleven One,Fox8 111 Hits Fox Classics Arena The Comedy Channel
4Kids Entertainment,Network Ten,GO ! Eleven,Cartoon Network
ABC Studios,Seven Network,7Two 7mate,Arena The Comedy Channel Fox Classics
Cartoon Network Studios,Nine Network,GO !,Cartoon Network
CBeebies originals,ABC1,ABC4 Kids ( ABC programs ) Extra ( BBC Programs ),CBeebies ( all programs ) Disney Junior ( abc for kids programs only )
CBS Studios International,Network Ten,Eleven One,TV1 SF 111 Hits Fox Classics
CBS Television Studios,Nine Network ( Old Programs Only ) Network Ten,GO ! GEM Eleven One,TV1 Arena SF
Comedy Central Cartoons,SBS One,GO !,The Comedy Channel
Disney-ABC Domestic Television,Seven Network,7Two 7mate,Fox8 Arena 111 Hits Fox Classics
Disney Television Animation,Seven Network,7Two 7mate,Disney Channel
DisneyToon Studios,Seven Network,7Two 7mate,Disney Channel Disney Junior
DreamWorks Animation,Network Ten,Eleven,Fox8 The Comedy Channel Nickelodeon
DreamWorks Television,Seven Network,GO !,Fox8 The Comedy Channel SoHo
HBO,SBS One,Eleven,Showcase The Comedy Channel Arena
Lionsgate Television,Nine Network,GEM Eleven,Showcase 111 Hits Fox Classics Arena
MTV Animation,Nine Network,GO !,MTV
Nickelodeon Animation Studio,Nine Network ( Nick Jr programs ) Network Ten ( Nick programs ),Eleven,Nickelodeon Nick Jr
Ragdoll Productions,Seven Network Nine Network,ABC4 Kids ABC3 7Two GO ! GEM,CBeebies Disney Junior Nick Jr
Saban Brands,none,GO !,Nickelodeon
