Rank,Player,Team ( s ) by season,Yards
1,Drew Brees,San Diego Chargers ( 2001 - 2005 ) New Orleans Saints ( 2006 -present ),"77,416"
2,Tom Brady,New England Patriots ( 2000 -present ),"74,571"
3,Peyton Manning,Indianapolis Colts ( 1998 - 2011 ) Denver Broncos ( 2012 - 2015 ),"71,940"
4,Brett Favre,Atlanta Falcons ( 1991 ) Green Bay Packers ( 1992 - 2007 ) New York Jets ( 2008 ) Minnesota Vikings ( 2009 - 2010 ),"71,838"
5,Dan Marino,Miami Dolphins ( 1983 - 1999 ),"61,361"
6,Philip Rivers,San Diego/Los Angeles Chargers ( 2004 -present ),"59,271"
7,Eli Manning,New York Giants ( 2004 - 2019 ),"57,023"
8,Ben Roethlisberger,Pittsburgh Steelers ( 2004 -present ),"56,545"
9,John Elway,Denver Broncos ( 1983 - 1998 ),"51,475"
10,Matt Ryan,Atlanta Falcons ( 2008 -present ),"51,186"
11,Warren Moon,Houston Oilers ( 1984 - 1993 ) Minnesota Vikings ( 1994 - 1996 ) Seattle Seahawks ( 1997 - 1998 ) Kansas City Chiefs ( 1999 - 2000 ),"49,325"
12,Fran Tarkenton,"Minnesota Vikings ( 1961 - 1966 , 1972 - 1978 ) New York Giants ( 1967 - 1971 )","47,003"
13,Aaron Rodgers,Green Bay Packers ( 2005 -present ),"46,946"
14,Carson Palmer,Cincinnati Bengals ( 2003 - 2010 ) Oakland Raiders ( 2011 - 2012 ) Arizona Cardinals ( 2013 - 2017 ),"46,247"
15,Vinny Testaverde,"Tampa Bay Buccaneers ( 1987 - 1992 ) Cleveland Browns ( 1993 - 1995 ) Baltimore Ravens ( 1996 - 1997 ) New York Jets ( 1998 - 2003 , 2005 ) Dallas Cowboys ( 2004 ) New England Patriots ( 2006 ) Carolina Panthers ( 2007 )","46,233"
16,Drew Bledsoe,New England Patriots ( 1993 - 2001 ) Buffalo Bills ( 2002 - 2004 ) Dallas Cowboys ( 2005 - 2006 ),"44,611"
17,Dan Fouts,San Diego Chargers ( 1973 - 1987 ),"43,040"
18,Matthew Stafford,Detroit Lions ( 2009 -present ),"41,025"
19,Kerry Collins,Carolina Panthers ( 1995 - 1998 ) New Orleans Saints ( 1998 ) New York Giants ( 1999 - 2003 ) Oakland Raiders ( 2004 - 2005 ) Tennessee Titans ( 2006 - 2010 ) Indianapolis Colts ( 2011 ),"40,922"
20,Joe Montana,San Francisco 49ers ( 1979 - 1992 ) Kansas City Chiefs ( 1993 - 1994 ),"40,551"
