2015 borough,1972-2015 borough,pre-1972 borough,Year of charter,Notes
Antrim and Newtownabbey,Antrim,,1977,Antrim town 's borough status was extinguished in 1840 . It was Antrim 's borough charter which the merged council opted to preserve in 2015
Antrim and Newtownabbey,Newtownabbey,,1977,
"Armagh , Banbridge and Craigavon",Armagh,,1997,Armagh town already had city status granted by letters patent in 1994 . Its previous borough status was extinguished in 1840 . It was Armagh 's borough charter which the merged council opted to preserve in 2015
"Armagh , Banbridge and Craigavon",Craigavon,"Portadown , Lurgan","1947 , 1949",
Belfast,Belfast,Belfast,1613,Charter reformed 1840 . City status by letters patent of 1888
Causeway Coast and Glens,Ballymoney,,1977,
Causeway Coast and Glens,Coleraine,Coleraine,1928,Coleraine 's previous borough status was extinguished in 1840 . It was Coleraine 's borough charter which the merged council opted to preserve in 2015
Causeway Coast and Glens,Limavady,,1989,
Derry and Strabane,Derry,Londonderry,1604,Charter reformed 1840 . District and borough renamed Derry 1984 ; name of city remains Londonderry ( see Derry/Londonderry name dispute )
Lisburn and Castlereagh,Castlereagh,,1977,The new district council is called Lisburn and Castlereagh City Council
Lisburn and Castlereagh,Lisburn,Lisburn,1964,Lisburn was granted city status by letters patent in 2002
Mid and East Antrim,Ballymena,Ballymena,1937,
Mid and East Antrim,Carrickfergus,Carrickfergus,1939,Carrickfergus 's previous borough status was extinguished in 1840 . It was Carrickfergus 's borough charter which the merged council opted to preserve in 2015
Mid and East Antrim,Larne,Larne,1938,
Ards and North Down,Ards,Newtownards,1927,"Newtownards ' previous borough status was extinguished in 1840 . The North Down and Ards statutory transition committee voted in 2014 to apply for borough status for the merged district council under the name East Coast Borough Council , but negative public reaction prompted a rethink , and the name Ards and North Down was not finalised until 2016 . The charter transfer was delayed until after this"
Ards and North Down,North Down,Bangor,1927,Bangor 's previous borough status was extinguished in 1840 . It was North Down 's borough charter which the merged council opted to preserve in 2016
,Dungannon and South Tyrone,,1999,Borough status was simultaneous with 1999 renaming the district from Dungannon . Dungannon town 's borough status was extinguished in 1840 . Now in Mid-Ulster District
,,Enniskillen,1949,"Previous borough status was extinguished in 1840 . In 1967 , Enniskillen Borough Council lost its administrative functions to Fermanagh County Council , but retained its ceremonial role . The post-1972 Fermanagh District Council did not inherit Enniskillen 's borough status . Since 2015 in Fermanagh and Omagh District"
