Week,Tournament,State/Country,Winner
Jan 25-28,Movistar Panama Championship,Panama,Miguel Carballo ( 1 )
Feb 15-18,Jacob 's Creek Open Championship,Australia,Scott Sterling ( 1 )
Feb 22-25,HSBC New Zealand PGA Championship,New Zealand,Nicholas Thompson ( 1 )
Mar 22-25,Chitimacha Louisiana Open,Louisiana,Skip Kendall ( 3 )
Mar 29 - Apr 1,Livermore Valley Wine Country Championship,California,Omar Uresti ( 2 )
Apr 12-15,South Georgia Classic,Georgia,John Kimbell ( 1 )
Apr 19-22,Athens Regional Foundation Classic,Georgia,Martin Laird ( 1 )
Apr 26-29,Henrico County Open,Virginia,Nick Flanagan ( 1 )
May 3-6,Fort Smith Classic,Arkansas,Jay Williamson ( 1 )
May 17-20,BMW Charity Pro-Am at The Cliffs,South Carolina,Nick Flanagan ( 2 )
May 24-27,Melwood Prince George 's County Open,Maryland,Paul Claxton ( 2 )
May 31 - Jun 3,LaSalle Bank Open,Illinois,John Riegger ( 1 )
Jun 7-10,Rex Hospital Open,North Carolina,Kyle Thompson ( 1 )
Jun 14-17,Showdown at Somerby,Minnesota,Chris Riley ( 1 )
Jun 21-24,Knoxville Open,Tennessee,Chez Reavie ( 1 )
Jun 28 - Jul 1,Peek ' n Peak Classic,New York,Roland Thatcher ( 2 )
Jul 5-8,Legend Financial Group Classic,Ohio,Jason Day ( 1 )
Jul 12-15,Nationwide Children 's Hospital Invitational,Ohio,Daniel Summerhays ( am ) ( 1 )
Jul 19-22,Price Cutter Charity Championship,Missouri,Tom Scherrer ( 3 )
Jul 26-29,Cox Classic,Nebraska,Roland Thatcher ( 3 )
