Name,Age,Location,Country,Date of Accident
Mieczysław Karłowicz,32,Tatra Mountains,Poland-Slovakia border,1909-02-08
Giacinto Sertorelli,22,"Garmisch , Bavaria",Germany,1938-01-26
James Palmer-Tomkinson,36,"Klosters , Graubünden",Switzerland,1952-01-07
Paul Ausserleitner,26,Bischofshofen,Austria,1952-01-09
John Semmelink,20,"Garmisch , Bavaria",West Germany,1959-02-07
Ross Milne,19,"Patscherkofel , Innsbruck , Tyrol",Austria,1964-01-25
Buddy Werner,28,"Las Trais Fluors slope , St. Moritz",Switzerland,1964-04-12
Barbara Henneberger,23,"Las Trais Fluors slope , St. Moritz",Switzerland,1964-04-12
Michel Bozon,20,"Piste Emile Allais , Megève , Haute-Savoie",France,1970-01-23
Leonardo David,18,"Whiteface Mountain , New York",United States,1979-03-03
Sara Mustonen,16,"Hintertux , Tyrol",Austria,1979-09-12
Josef Walcher,29,"Schladming , Styria",Austria,1984-01-22
Hugh Lindsay,34,"Gotschnagrat , Klosters , Graubünden",Switzerland,1988-03-10
Jules Fiske Harrison,18,Zermatt,Switzerland,1988-04-04
"Alfonso , Duke of Anjou and Cádiz",52,"Beaver Creek , Colorado",United States,1989-01-30
Gernot Reinstadler,20,"Lauberhorn , Wengen , Bern",Switzerland,1991-01-20
Ulrike Maier,26,"Garmisch , Bavaria",Germany,1994-01-29
Michael Kennedy,39,"Aspen , Colorado",United States,1997-12-31
Sonny Bono,62,"Heavenly , Nevada",United States,1998-01-05
Doak Walker,71,"Steamboat , Colorado",United States,1998-01-30
