No,Position,Player,Nation
1,Goalkeeper,Tally Hall,United States
3,Forward,Calen Carr,United States
4,Defender,Jermaine Taylor,Jamaica
5,Midfielder,Warren Creavalle,United States
6,Midfielder,Nathan Sturgis,United States
7,Midfielder,Colin Clark,United States
8,Defender,Kofi Sarkodie ( GA ),United States
9,Forward,Macoumba Kandji,Senegal
10,Midfielder,Je-Vaughn Watson,Jamaica
11,Midfielder,Brad Davis,United States
12,Forward,Will Bruin ( GA ),United States
14,Forward,Colin Rolfe,United States
15,Forward,Cam Weaver,United States
16,Midfielder,Adam Moffat,Scotland
17,Midfielder,Luiz Camargo,Brazil
18,Midfielder,Josue Soto ( HGP ),United States
19,Midfielder,Alex Dixon ( HGP ),United States
20,Defender,Geoff Cameron,United States
22,Forward,Brian Ownby,United States
24,Goalkeeper,Tyler Deric ( HGP ),United States
