Date,Placing,Event,Competition,Location,Country
1992,1,Individual pursuit,National championships,,France
1993,1,Individual pursuit,National championships,,France
19 August 1993,,Individual pursuit,World Championships,Hamar,Norway
1994,1,Individual pursuit,National championships,,France
1995,1,Individual pursuit,National championships,,France
June 1995,3,Individual pursuit,World Cup,Cottbus,Germany
July 1995,2,Individual pursuit,World Cup,Adelaide,Australia
July 1995,1,Individual pursuit,World Cup,Tokyo,Japan
1996,1,Individual pursuit,National championships,,France
1996,1,Points race,National championships,,France
25 July 1996,,Individual pursuit,Olympic Games,Atlanta,United States
27 July 1996,,Team pursuit,Olympic Games,Atlanta,United States
31 August 1996,,Team pursuit,World Championships,Manchester,United Kingdom
1997,1,Individual pursuit,National championships,,France
1997,1,Points race,National championships,,France
28 August 1997,,Individual pursuit,World Championships,Perth,Australia
30 August 1997,,Team pursuit,World Championships,Perth,Australia
July 1997,2,Individual pursuit,World Cup,Athens,Greece
July 1997,3,Team pursuit,World Cup,Athens,Greece
1998,2,Individual pursuit,National championships,,France
