Pos,No,Team,Driver,Car,Qual
1,17,Shell Ultra Hi Racing,Dick Johnson,Ford Sierra RS500,1:15.87
2,15,Holden Racing Team,Tomas Mezera,Holden VP Commodore,1:16.62
3,11,Bob Jane T-Marts Perkins Racing,Larry Perkins,Holden VL Commodore SS Group A SV,1:17.50
4,16,Holden Racing Team,Win Percy,Holden VP Commodore,1:17.71
5,05,Mobil 1 Racing,Peter Brock,Holden VP Commodore,1:17.79
6,30,Peter Jackson Racing,Glenn Seton,Ford EB Falcon,1:17.80
7,35,Peter Jackson Racing,Wayne Park,Ford Sierra RS500,1:18.16
8,25,Benson & Hedges Racing,Tony Longhurst,BMW M3 Evolution,1:18.16
9,17,Shell Ultra Hi Racing,Terry Sheil,Ford Sierra RS500,1:18.75
10,13,Ampol Max 3 Racing,Bob Jones,Holden VL Commodore SS Group A SV,1:22.76
