Medal,Name,Games,Sport,Event
Silver,Yang Chuan-kwang,1960 Rome,Athletics,Men 's decathlon
Bronze,Chi Cheng,1968 Mexico City,Athletics,Women 's 80 metre hurdles
Bronze,Tsai Wen-yee,1984 Los Angeles,Weightlifting,Men 's 60 kg
Silver,Chang Cheng-hsien Chang Wen-chung Chang Yaw-teing Chen Chi-hsin Chen Wei-chen Chiang Tai-chuan Huang Chung-yi Huang Wen-po Jong Yeu-jeng Ku Kuo-chian Kuo Lee Chien-fu Liao Ming-hsiung Lin Chao-huang Lin Kun-han Lo Chen-jung Lo Kuo-chong Pai Kun-hong Tsai Ming-hung Wang Kuang-shih Wu Shih-hsih,1992 Barcelona,Baseball,Men 's competition
Silver,Chen Jing,1996 Atlanta,Table tennis,Women 's singles
Silver,Li Feng-ying,2000 Sydney,Weightlifting,Women 's 53 kg
Bronze,Chen Jing,2000 Sydney,Table tennis,Women 's singles
Bronze,Chi Shu-ju,2000 Sydney,Taekwondo,Women 's 49 kg
Bronze,Huang Chih-hsiung,2000 Sydney,Taekwondo,Men 's 58 kg
Bronze,Kuo Yi-hang,2000 Sydney,Weightlifting,Women 's 75 kg
Gold,Chen Shih-hsin,2004 Athens,Taekwondo,Women 's flyweight
Gold,Chu Mu-yen,2004 Athens,Taekwondo,Men 's flyweight
Silver,Chen Szu-yuan Liu Ming-huang Wang Cheng-pang,2004 Athens,Archery,Men 's team
Silver,Huang Chih-hsiung,2004 Athens,Taekwondo,Men 's lightweight
Bronze,Chen Li-ju Wu Hui-ju Yuan Shu-chi,2004 Athens,Archery,Women 's team
Gold,Chen Wei-ling,2008 Beijing,Weightlifting,Women 's 48 kg
Silver,Lu Ying-chi,2008 Beijing,Weightlifting,Women 's 63 kg
Bronze,Chu Mu-yen,2008 Beijing,Taekwondo,Men 's 58 kg
Bronze,Sung Yu-chi,2008 Beijing,Taekwondo,Men 's 68 kg
Gold,Hsu Shu-ching,2012 London,Weightlifting,Women 's 53 kg
