System,Major city ( s ),Number of vehicles
Bloomington Transit,Bloomington,52
ChicaGo Dash,"Valparaiso , Chicago",
City of Anderson Transit System ( CATS ),Anderson,17
CityBus,Lafayette,80
Fort Wayne Citilink,Fort Wayne,
Gary Public Transportation Corporation ( GPTC ),Gary,26
IndyGo,Indianapolis,
Interurban Trolley,"Elkhart , Goshen",23
Kokomo City-Line,Kokomo,34
Marion Transit System ( MTS ),Marion,13
Metropolitan Evansville Transit System ( METS ),Evansville,50
Michigan City Transit,Michigan City,12
Muncie Indiana Transit System ( MITS ),Muncie,49
Rose View Transit ( RTS ),Richmond,18
South Bend TRANSPO,"South Bend , Mishiwaka",69
Terre Haute Transit,Terre Haute,16
V-Line,Valparaiso,11
