Name,Rank,Unit,Date of action,Conflict,Place of action
Somnath Sharma,Major,Kumaon Regiment,3 November 1947 *,Battle of Badgam,"Badgam , J & K , India"
Jadu Nath Singh,Naik,Rajput Regiment,6 February 1948 *,Indo-Pakistani War of 1947,"Naushera , J & K , India"
Rama Raghoba Rane,Second Lieutenant,Bombay Sappers,8 April 1948,Indo-Pakistani War of 1947,"Naushera , J & K , India"
Piru Singh Shekhawat,Company Havildar Major,Rajputana Rifles,17 July 1948 *,Indo-Pakistani War of 1947,"Tithwal , J & K , India"
Karam Singh,Lance Naik,Sikh Regiment,13 October 1948,Indo-Pakistani War of 1947,"Tithwal , J & K , India"
Gurbachan Singh Salaria,Captain,1 Gorkha Rifles,5 December 1961 *,Congo Crisis,"Élisabethville , Katanga , Congo"
Dhan Singh Thapa,Major,8 Gorkha Rifles,20 October 1962,Sino-Indian War,"Ladakh , J & K , India"
Joginder Singh Sahnan,Subedar,Sikh Regiment,23 October 1962 *,Sino-Indian War,"Tongpen La , NEFA , India"
Shaitan Singh,Major,Kumaon Regiment,18 November 1962 *,Sino-Indian War,"Rezang La , J & K , India"
Abdul Hamid,Company Quarter Master Havildar,The Grenadiers,10 September 1965 *,Battle of Asal Uttar,"Khemkaran , India"
Ardeshir Burzorji Tarapore,Lieutenant Colonel,Poona Horse,11 September 1965 *,Battle of Chawinda,"Phillora , Sialkot , Pakistan"
Albert Ekka,Lance Naik,Brigade of the Guards,3 December 1971 *,Battle of Hilli,"Gangasagar , Agartala , India"
Nirmal Jit Singh Sekhon,Flying Officer,No . 18 Squadron IAF,14 December 1971 *,Indo-Pakistani War of 1971,"Srinagar , J & K , India"
Arun Khetarpal,Second Lieutenant,Poona Horse,16 December 1971 *,Battle of Basantar,"Barapind-Jarpal , Shakargarh , Pakistan"
Hoshiar Singh Dahiya,Major,The Grenadiers,17 December 1971,Battle of Basantar,"Basantar River , Shakargarh , Pakistan"
Bana Singh,Naib Subedar,Jammu and Kashmir Light Infantry,23 May 1987,Operation Rajiv,"Siachen Glacier , J & K , India"
Ramaswamy Parameshwaran,Major,Mahar Regiment,25 November 1987 *,Operation Pawan,Sri Lanka
Manoj Kumar Pandey,Captain,11 Gorkha Rifles,3 July 1999 *,Operation Vijay,"Khaluber /Juber Top , J & K , India"
Yogendra Singh Yadav,Grenadier,The Grenadiers,4 July 1999,Battle of Tiger Hill,"Tiger Hill , J & K , India"
Sanjay Kumar,Rifleman,Jammu & Kashmir Rifles,5 July 1999,Kargil War,"Kargil , J & K , India"
