Scientific name,Common name,Classified,Conservation status
Callicebus ( Callicebus ) donacophilus,White-eared titi,1837 d'Orbigny,least concern
Callicebus ( Callicebus ) modestus,Rio Beni titi,1939 Lönnberg,endangered
Callicebus ( Callicebus ) oenanthe,Rio Mayo titi,1924 Thomas,endangered
Callicebus ( Callicebus ) olallae,Ollala brothers ' titi,1939 Lönnberg,endangered
Callicebus ( Callicebus ) pallescens,White-coated titi,1907 Thomas,least concern
Callicebus ( Callicebus ) baptista,Baptista Lake titi,1939 Lönnberg,least concern
Callicebus ( Callicebus ) bernhardi,Prince Bernhard 's titi,2002 van Roosmalen et al,least concern
Callicebus ( Callicebus ) brunneus,Brown titi,1842 Wagner,least concern
Callicebus ( Callicebus ) cinerascens,Ashy black titi,1823 Spix,least concern
Callicebus ( Callicebus ) hoffmannsi,Hoffmanns 's titi,1908 Thomas,least concern
Callicebus ( Callicebus ) moloch,Red-bellied titi,1807 Hoffmannsegg,least concern
Callicebus ( Callicebus ) barbarabrownae,Barbara Brown 's titi,1990 Hershkovitz,critically endangered
Callicebus ( Callicebus ) coimbrai,Coimbra Filho 's titi,1999 Kobayashi and Langguth,endangered
Callicebus ( Callicebus ) melanochir,Coastal black-handed titi,1820 Wied-Neuwied,vulnerable
Callicebus ( Callicebus ) nigrifrons,Black-fronted titi,1823 Spix,near threatened
Callicebus ( Callicebus ) personatus,Atlantic titi,1812 É. Geoffroy in Humboldt,vulnerable
Callicebus ( Callicebus ) caligatus,Chestnut-bellied titi,1842 Wagner,least concern
Callicebus ( Callicebus ) cupreus,Coppery titi,1823 Spix,least concern
Callicebus ( Callicebus ) discolor,White-tailed titi,1848 I. Geoffroy and Deville,least concern
Callicebus ( Callicebus ) dubius,Hershkovitz 's titi,1988 Hershkovitz,least concern
