Year,Distance,Athlete,Location
1960,6.40 m ( 20 ft 11 ⁄ 4 in ),Hildrun Claus ( GDR ),Erfurt
1961,6.48 m ( 21 ft 3 in ),Tatyana Shchelkanova ( URS ),Moscow
1962,6.62 m ( 21 ft 8 ⁄ 2 in ),Tatyana Shchelkanova ( URS ),Brussels
1963,6.60 m ( 21 ft 7 ⁄ 4 in ),Tatyana Shchelkanova ( URS ),Kurayoshi
1964,6.76 m ( 22 ft 2 in ),Mary Rand ( GBR ),Tokyo
1965,6.71 m ( 22 ft 0 in ),Tatyana Shchelkanova ( URS ),Kiev
1966,6.73 m ( 22 ft ⁄ 4 in ),Tatyana Shchelkanova ( URS ),Dnepropetrovsk
1967,6.63 m ( 21 ft 9 in ),Ingrid Becker ( FRG ),Kiev
1968,6.82 m ( 22 ft 4 ⁄ 2 in ),Viorica Viscopoleanu ( ROM ),Mexico City
1969,6.64 m ( 21 ft 9 ⁄ 4 in ),Heide Rosendahl ( FRG ),Leverkusen
1970,6.84 m ( 22 ft 5 ⁄ 4 in ),Heide Rosendahl ( FRG ),Turin
1971,6.81 m ( 22 ft 4 in ),Margrit Herbst ( GDR ),Leipzig
1972,6.78 m ( 22 ft 2 ⁄ 4 in ),Heide Rosendahl ( FRG ),Munich
1973,6.76 m ( 22 ft 2 in ),Angela Schmalfeld ( GDR ),Dresden
1974,6.77 m ( 22 ft 2 ⁄ 2 in ),Angela Schmalfeld ( GDR ),East Berlin
1975,6.76 m ( 22 ft 2 in ),Lidiya Alfeyeva ( URS ),Nice
1976,6.99 m ( 22 ft 11 in ),Siegrun Siegl ( GDR ),Dresden
1977,6.82 m ( 22 ft 4 ⁄ 2 in ),Vilma Bardauskienė ( URS ),Krasnodar
1978,7.09 m ( 23 ft 3 in ),Vilma Bardauskienė ( URS ),Prague
1979,6.90 m ( 22 ft 7 ⁄ 2 in ),Brigitte Wujak ( GDR ),Potsdam
