Year,Title,Role
2000,Space Cowboys,Young Pilot No . 2
2001,Kissing Jessica Stein,Charles
2002,We Were Soldiers,Capt . Matt Dillon
2006,Ira & Abby,Ronnie
2007,The Ten,Chris Knarl
2008,The Day the Earth Stood Still,Dr. Michael Granier
2009,A Single Man,Hank Ackerley ( voice )
2009,Stolen,Tom Adkins Sr
2010,Shrek Forever After,Brogan ( voice )
2010,The A-Team,Agent Lynch
2010,The Town,Adam Frawley
2010,Howl,Jake Ehrlich
2011,Sucker Punch,High Roller / Doctor
2011,Bridesmaids,Ted
2012,Friends with Kids,Ben
2013,The Congress,Dylan Truliner ( voice )
2014,Million Dollar Arm,J . B. Bernstein
2015,Minions,Herb Overkill ( voice )
2016,Absolutely Fabulous : The Movie,Himself
2016,Keeping Up with the Joneses,Tim Jones
