Medal,Name,Sport,Event,Date
Gold,Camille Lacourt,Swimming,Men 's 100 metre backstroke,26 July
Gold,Jérémy Stravius,Swimming,Men 's 100 metre backstroke,26 July
Silver,Aurélie Muller,Open Water Swimming,Women 's 5km,22 July
Silver,Alain Bernard Jérémy Stravius William Meynard Fabien Gilot,Swimming,Men 's 4 × 100 m Freestyle Relay,24 July
Silver,Yannick Agnel Grégory Mallet Jérémy Stravius Fabien Gilot Sébastien Rouault,Swimming,Men 's 4 × 200 m Freestyle Relay,29 July
Silver,Camille Lacourt,Swimming,Men 's 50m Backstroke,31 July
Bronze,Camille Muffat,Swimming,Women 's 400m Freestyle,24 July
Bronze,Camille Muffat,Swimming,Women 's 200m Freestyle,27 July
Bronze,William Meynard,Swimming,Men 's 100m Freestyle,28 July
Bronze,Alain Bernard,Swimming,Men 's 50m Freestyle,30 July
Bronze,Mélanie Henique,Swimming,Women 's 50m Butterfly,30 July
