"Ge'ez , Tigrinya , and Amharic language ( with Amharic suffixes in parentheses )",Coptic,Julian ( Old Calendar ) Start Date,Gregorian Start Date [ From March 1900 to February 2100 ],Gregorian Start Date in Year after Ethiopian Leap Day
Mäskäräm ( መስከረም ),Tut ( Thout ),29 August,11 September,12 September
Ṭəqəmt ( i ) ( ጥቅምት ),Babah ( Paopi ),28 September,11 October,12 October
Ḫədar ( ኅዳር ),Hatur ( Hathor ),28 October,10 November,11 November
Taḫśaś ( ታኅሣሥ ),Kiyahk ( Koiak ),27 November,10 December,11 December
Ṭərr ( i ) ( ጥር ),Tubah ( Tobi ),27 December,9 January,10 January
Yäkatit ( Tn . Läkatit ) ( የካቲት ),Amshir ( Meshir ),26 January,8 February,9 February
Mägabit ( መጋቢት ),Baramhat ( Paremhat ),25 February,10 March,10 March
Miyazya ( ሚያዝያ ),Baramundah ( Parmouti ),27 March,9 April,9 April
Gənbo ( t ) ( ግንቦት ),Bashans ( Pashons ),26 April,9 May,9 May
Säne ( ሰኔ ),Ba'unah ( Paoni ),26 May,8 June,8 June
Ḥamle ( ሐምሌ ),Abib ( Epip ),25 June,8 July,8 July
Nähase ( ነሐሴ ),Misra ( Mesori ),25 July,7 August,7 August
Ṗagʷəmen/Ṗagume ( ጳጐሜን/ጳጉሜ ),Nasi ( Pi Kogi Enavot ),24 August,6 September,6 September
