Year,Award,Result,Category/Recipient
1969,FIPRESCI prize,Won,for Andrei Rublev
1972,Grand Prix Spécial du Jury,Won,for Solaris
1972,Palme d'Or,Nominated,for Solaris
1980,Prize of the Ecumenical Jury,Won,for Stalker
1983,Grand Prix du cinéma de creation,Won,for Nostalghia
1983,FIPRESCI prize,Won,for Nostalghia
1983,Prize of the Ecumenical Jury,Won,for Nostalghia
1983,Palme d'Or,Nominated,for Nostalghia
1986,FIPRESCI prize,Won,for The Sacrifice
1986,Prize of the Ecumenical Jury,Won,for The Sacrifice
1986,Grand Prix Spécial du Jury,Won,for The Sacrifice
1986,Palme d'Or,Nominated,for The Sacrifice
