Year of issue,Album details,Recording date ( s ),Record label
1982,"Horowitz At the Met Scarlatti : Six Sonatas Chopin : Ballade in F minor , Op . 52 / Waltz in A-flat major , Op . 69 , No . 1 Liszt : Ballade in B minor , S. 171 Rachmaninoff : Prelude in G minor , Op . 23 , No . 5",November 1981,RCA Red Seal Records
1983,"Horowitz in London Traditional : God Save the Queen Chopin : Polonaise-Fantasie , Op . 61 / Ballade in G minor , Op . 23 Schumann : Kinderszenen , Op . 15 Scriabin : Etude in D-sharp minor , Op . 8 , No . 12",May 1982,RCA Red Seal Records
1985,"Vladimir Horowitz - The Last Romantic Bach - Busoni : Chorale Prelude Nun komm ' der Heiden Heiland Mozart : Sonata in C major , K. 330 Chopin : Mazurka in A minor , Op . 17 , No . 4 / Scherzo in B minor , Op . 20 / Polonaise in A-flat major , Op . 53 Schubert : Impromptu in A-flat major , D. 899 , No . 4 Liszt : Consolation No . 3 in D-flat major , S. 172 , No . 3 Schumann : Novelette in F major , Op . 21 , No . 1 Scriabin : Etude in C-sharp minor , Op . 2 , No . 1 Rachmaninoff : Prelude in G-sharp minor , Op . 32 , No . 12 Moszkowski : Etude in F major , Op . 72 , No . 6",April 1985,Deutsche Grammophon
1986,"The Studio Recordings , New York 1985 Schumann : Kreisleriana , Op . 16 Scarlatti : Sonata in B minor , K. 87 / Sonata in E major , K. 135 Liszt : Impromptu ( Nocturne ) , in F-sharp major / Valse oubliée No . 1 Scriabin : Etude in D-sharp minor , Op . 8 , No . 12 Schubert : Impromptu in B-flat major , D. 935 , No . 3 Schubert - Tausig : Marche Militaire in D-flat major",September - October 1985,Deutsche Grammophon
1986,"Horowitz in Moscow Scarlatti : Sonata in E major , K. 380 Mozart : Sonata in C major , K. 330 Rachmaninoff : Prelude in G major , Op . 32 , No . 5 / Prelude in G-sharp minor , Op . 32 , No . 12 / Polka de W. R. Scriabin : Etude in C-sharp minor , Op . 2 , No . 1 / Etude in D-sharp minor , Op . 8 , No . 12 Liszt : Soirées de Vienne , Valse Caprice No . 6 ( after Schubert ) / Sonetto del Petrarca No . 104 Chopin : Mazurka in C-sharp minor , Op . 30 , No . 4 / Mazurka in F minor , Op . 7 , No . 3 Schumann : Träumerei Moszkowski : Étincelles , Op . 36 , No . 6",April 1986,Deutsche Grammophon
1987,"Horowitz Plays Mozart Piano Concerto No . 23 in A major , K. 488 ( Orchestra della Teatro alla Scala / Carlo Maria Giulini , Conductor ) Sonata in B-flat major , K. 333",March 1987,Deutsche Grammophon
1987,"Horowitz Plays Liszt Sonata in B minor , S. 178 / Ballade in B minor , S. 171 / Funerailles , S. 173 , No . 7 / Consolation in D-flat major , S. 172 , No . 3 / Mephisto Waltz No . 1 , S. 514 ( arr . Horowitz )",1950-1981,RCA Red Seal Records
1989,"Horowitz At Home Mozart : Sonata in B-flat , K. 281 / Adagio in B minor , K. 540 / Rondo in D major , K. 485 Schubert : Moment musical in F minor , D. 80 , No . 3 Liszt : Ständchen / Soirées de Vienne , Valse Caprices Nos . 6 and 7 ( all after Schubert )",1986-1989,Deutsche Grammophon
1989,"Horowitz Plays Rachmaninoff Piano Sonata No . 2 in B-flat minor , Op . 36 / Moment Musical in E-flat minor , Op . 16 No . 2 / Prelude in G major , Op . 32 , No . 5 / Polka de W. R. in A-flat major Piano Concerto No . 3 in D minor , Op . 30 ( RCA Victor Symphony Orchestra / Fritz Reiner , Conductor )",1951-1980,RCA Gold Seal
1989,"Horowitz Plays Clementi Sonata in C major , Op . 33 No . 3 / Sonata in G minor , Op . 34 No . 2 / Sonata in F minor , Op . 13 No . 6 / Sonata in F-sharp minor , Op . 25 No . 5 / Rondo from Sonata in B-flat major , Op . 24 No . 2",1954,RCA Gold Seal
