Game,Publisher,Release Date,Platform ( s ),MC score,GR score
Grand Theft Auto Double Pack,Rockstar Games,"November 4 , 2003",Xbox,96/100,94.6%
The Legend of Zelda Collector 's Edition,Nintendo,"November 17 , 2003",GameCube,95/100,92.17%
Championship Manager 4,Eidos Interactive,"March 28 , 2003",Microsoft Windows,N/A,95%
Grand Theft Auto : Vice City,Rockstar Games,"May 12 , 2003",Microsoft Windows,94/100,94.39%
Star Wars : Knights of the Old Republic,LucasArts,"July 15 , 2003",Xbox,94/100,94.21%
NCAA Football 2004,EA Sports,"July 16 , 2003",PlayStation 2,94/100,93.27%
Super Mario Advance 4 : Super Mario Bros. 3,Nintendo,"October 21 , 2003",Game Boy Advance,94/100,92.25%
Madden NFL 2004,EA Sports,"August 12 , 2003",PlayStation 2,94/100,91.77%
Madden NFL 2004,EA Sports,"August 12 , 2003",GameCube,94/100,91.54%
Pro Evolution Soccer 3,Konami,"October 17 , 2003",Microsoft Windows,92/100,93.33%
Star Wars : Knights of the Old Republic,LucasArts,"November 19 , 2003",Microsoft Windows,93/100,93.19%
Project Gotham Racing 2,Microsoft Game Studios,"November 18 , 2003",Xbox,90/100,93.16%
Pro Evolution Soccer 3,Konami,"August 7 , 2003",PlayStation 2,93/100,92.97%
SSX 3,EA Sports,"October 20 , 2003",PlayStation 2,93/100,92.28%
Soulcalibur II,Namco,"March 27 , 2003",GameCube,93/100,92.23%
Virtua Fighter 4 : Evolution,Sega,"March 13 , 2003",PlayStation 2,93/100,91.59%
Viewtiful Joe,Capcom,"June 26 , 2003",GameCube,93/100,91.19%
Prince of Persia : The Sands of Time,Ubisoft,"November 18 , 2003",Xbox,92/100,92.67%
Prince of Persia : The Sands of Time,Ubisoft,"November 18 , 2003",GameCube,92/100,92.12%
SSX 3,EA Sports,"October 20 , 2003",GameCube,92/100,92%
