#,Title,Co-stars,Year,Director,Series
1,Hare Force,Willoughby,"July 22 , 1944",Friz Freleng,MM
2,Hare Remover,Elmer,"March 23 , 1946",Frank Tashlin,MM
3,Hare Tonic,Elmer,"November 10 , 1945",Chuck Jones,LT
4,A Hare Grows in Manhattan,Hector,"March 22 , 1947",Friz Freleng,MM
5,Easter Yeggs,Elmer,"June 28 , 1947",Robert McKimson,LT
6,The Wabbit Who Came to Supper,Elmer,"March 28 , 1942",Friz Freleng,MM
7,Bowery Bugs,,"June 4 , 1949",Arthur Davis,MM
8,Homeless Hare,,"March 11 , 1950",Chuck Jones,MM
9,Case of the Missing Hare,,"December 12 , 1942",Chuck Jones,MM
10,Acrobatty Bunny,,"June 29 , 1946",Robert McKimson,LT
11,Wackiki Wabbit,,"July 3 , 1943",Chuck Jones,MM
12,Hare Do,Elmer,"January 15 , 1949",Friz Freleng,MM
13,Rebel Rabbit,,"April 9 , 1949",Robert McKimson,MM
14,Hillbilly Hare,,"August 12 , 1950",Robert McKimson,MM
15,"Duck ! Rabbit , Duck !","Daffy , Elmer","October 3 , 1953",Chuck Jones,MM
