Date,Name,Moving from,Moving to,Fee
"May 1 , 2008",Jo Coppens,Genk,Cercle Brugge,Undisclosed
"May 2 , 2008",Matías Suárez,Belgrano,Anderlecht,€1.2m
"May 3 , 2008",Bart Van den Eede,Westerlo,Dender,Undisclosed
"May 3 , 2008",Tom Van Mol,Cercle Brugge,FCN Sint-Niklaas,Undisclosed
"May 6 , 2008",Christophe Lepoint,Tubize,Mouscron,Undisclosed
"May 6 , 2008",Saidou Panandétiguiri,Lokeren,Wiesbaden,Undisclosed
"May 7 , 2008",Bassalia Sakanoko,Péruwelz,Mouscron,Undisclosed
"May 8 , 2008",Karim Belhocine,Virton,Kortrijk,Free
"May 9 , 2008",Bart Deelkens,Beveren,Westerlo,Undisclosed
"May 9 , 2008",Nicolas Timmermans,Kortrijk,Westerlo,Undisclosed
"May 10 , 2008",David Grondin,Mouscron,Mechelen,Free
"May 12 , 2008",Jonathan Bourdon,Couillet,Roeselare,Undisclosed
"May 13 , 2008",Marc Wagemakers,Westerlo,Sint-Truiden,Free
"May 14 , 2008",Anis Boussaidi,Mechelen,Salzburg,Loan Ended
"May 14 , 2008",Ronald Vargas,Caracas,Club Brugge,Undisclosed
"May 15 , 2008",Nasser Daineche,Istres,Roeselare,Undisclosed
"May 15 , 2008",Boubacar Dembele,Beauvais,Roeselare,Undisclosed
"May 16 , 2008",Siebe Blondelle,Vitesse Arnhem,Dender,Free
"May 16 , 2008",Mustapha Jarju,Lierse,Mons,Undisclosed
"May 16 , 2008",Thomas Troch,Aalst,Roeselare,Undisclosed
