Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Putt Choate,LB,SMU,SWC
Atlanta Falcons,Russ Mikeska,TE,Texas A & M,SWC
Atlanta Falcons,Joel Williams,LB,Wisconsin-La Crosse,WIAC
Buffalo Bills,Chris Keating,LB,Maine,Yankee
Cleveland Browns,Dino Hall,RB,Glassboro State,NJSAC
Dallas Cowboys,Steve Wilson,CB,Howard,MEAC
Denver Broncos,Kit Lathrop,DT,Arizona State,Pac-10
Denver Broncos,Jim Ryan,LB,William & Mary,Ind
Denver Broncos,Steve Watson,WR,Temple,Ind
Detroit Lions,James Harrell,LB,Florida,SEC
Detroit Lions,Don Patterson,DB,Georgia Tech,ACC
Green Bay Packers,Bobby Kimball,WR,Oklahoma,Big Eight
Green Bay Packers,Wylie Turner,DB,Angelo State,Lone Star
Houston Oilers,Vernon Perry,S,Jackson State,SWAC
Los Angeles Rams,Ivory Sully,S,Delaware,Ind . ( Div . II )
Miami Dolphins,Cleveland Green,OT,Southern,SWAC
Minnesota Vikings,Douglas Cunningham,WR,Rice,SWC
Minnesota Vikings,Keith Nord,DB,St . Cloud State,NIC
New Orleans Saints,Vickey Ray Anderson,RB,Oklahoma,Big Eight
New York Jets,Woody Bennett,RB,Miami,Ind
