Year,Title,Role
2003,Bright Young Things,Adam Fenwick-Symes
2004,A Good Woman,Lord Darlington
2006,Normal for Norfolk,Man
2006,Amazing Grace,James Stephen
2006,The History Boys,Irwin
2008,The Bank Job,Kevin Swain
2008,Burlesque Fairytales,Peter Blythe-Smith
2008,Official Selection,Walt
2008,The Children,Jonah
2011,Season of the Witch,Debelzaq
2011,Johnny English Reborn,The Prime Minister
2015,Man Up,Ed
2015,The Lady in the Van,Doctor
2015,The Ones Below,Justin
2015,Burnt,Jack
2017,Goodbye Christopher Robin,Ernest Shepard
2018,Red Joan,Max
2019,Downton Abbey,Major Chetwode
