Pos,No,Driver,Constructor,Time,Gap
1,24,Juan Manuel Fangio,Alfa Romeo,2:35.9,-
2,22,Nino Farina,Alfa Romeo,2:37.8,+ 1.9
3,18,Luigi Villoresi,Ferrari,2:39.3,+ 3.4
4,28,Consalvo Sanesi,Alfa Romeo,2:40.3,+ 4.4
5,26,Toulo de Graffenried,Alfa Romeo,2:41.8,+ 5.9
6,44,Piero Taruffi,Ferrari,2:45.2,+ 9.3
7,20,Alberto Ascari,Ferrari,2:46.0,+ 10.1
8,8,Louis Rosier,Talbot-Lago - Talbot,2:52.7,+ 16.8
9,16,Peter Whitehead,Ferrari,2:52.9,+ 17.0
10,38,Rudi Fischer,Ferrari,2:54.1,+ 18.2
11,10,Henri Louveau,Talbot-Lago - Talbot,2:56.2,+ 20.3
12,4,Philippe Étancelin,Talbot-Lago - Talbot,2:57.3,+ 21.4
13,42,José Froilán González,Talbot-Lago - Talbot,2:57.3,+ 21.4
14,14,Stirling Moss,HWM - Alta,2:58.4,+ 22.5
15,6,Yves Giraud-Cabantous,Talbot-Lago - Talbot,3:00.3,+ 24.4
16,52,Peter Hirt,Veritas,3:01.6,+ 25.7
17,32,Harry Schell,Maserati,3:02.4,+ 26.5
18,2,Johnny Claes,Talbot-Lago - Talbot,3:02.5,+ 26.6
19,30,Louis Chiron,Maserati,3:03.8,+ 27.9
20,12,George Abecassis,HWM - Alta,3:05.1,+ 29.2
