Name,Chartered,Institution,Location,Status
Alpha Alpha,1927,Wilberforce University,"Wilberforce , OH",Active
Alpha Alpha Beta,1939,Chicago State University,"Chicago , IL",Active
Alpha Alpha Kappa,,University of Northern Iowa,"Waterloo , IA",Inactive
Alpha Alpha Nu,"March 22 , 1993",Morehead State University,"Morehead , KY",Inactive
Alpha Beta Kappa,"April 24th , 2000",Miami University,"Oxford , OH",Active
Alpha Beta Mu,"February 4 , 2000",Wright State University,"Dayton , OH",Active
Alpha Beta Omicron,,Elmhurst College,"Elmhurst , IL",Inactive
Alpha Beta Rho,"April 28 , 2000",Northern Kentucky University,"Highland Heights , KY",Active
Alpha Epsilon Alpha,"April 15 , 1995",Indianapolis Citywide,"Indianapolis , IN",Active
Alpha Rho Alpha,,Indiana University Northwest,"Gary , IN",Inactive
Beta Beta Xi,2005,Metro Louisville,"Louisville , KY",Active
Beta Nu,1947,Cleveland State University,"Cleveland , OH",Active
Gamma Alpha Iota,2009,Xavier University,"Cincinnati , OH",Active
Gamma Alpha Omicron,2010,Winona State University,"Winona , MN",Active
Gamma Eta Gamma,2015,Quincy University,"Quincy , IL",Active
Gamma Iota,"November 7 , 1950",Wayne State University,"Detroit , MI",Active
Gamma Mu Gamma,"May 19 , 2016",Lindenwood University - Belleville,"Belleville , IL",Active
Gamma Rho Eta,"February 23 , 2019",McKendree University,"Lebanon , IL",Active
Delta Kappa,1967,Michigan State University,"East Lansing , MI",Active
Delta Omicron,1969,The Ohio State University,"Columbus , OH",Active
