Player,Date of Birth,Batting Style,Bowling Style,First class team
Glenn Turner ( c ),26 May 1947,Right hand,Right arm offbreak,Otago
Lance Cairns,10 October 1949,Right hand,Right arm medium-fast,Otago
Richard Collinge,2 April 1946,Right hand,Left arm medium-fast,Central Districts Wellington
Barry Hadlee,14 December 1941,Right hand,Unknown,Canterbury
Dayle Hadlee,6 January 1948,Right hand,Right arm medium-fast,Canterbury
Richard Hadlee,3 July 1951,Left hand,Right arm fast,Canterbury
Brian Hastings,23 March 1940,Right hand,Right arm legbreak googly,Wellington
Geoff Howarth,29 March 1951,Right hand,Right arm offbreak,Auckland
Hedley Howarth,25 December 1943,Left hand,Left arm orthodox spin,Auckland
Brian McKechnie,6 November 1953,Right hand,Right arm fast-medium,Otago
John Morrison,27 August 1947,Right hand,Left arm orthodox spin,Wellington
John Parker ( wk ),21 February 1951,Right hand,Wicket-keeper,Northern Districts
Ken Wadsworth ( wk ),30 November 1946,Right hand,Wicket-keeper,Central Districts
John Parker,21 February 1951,Right hand,Right arm legbreak,Northern Districts
