District,Vacator,Reason for change,Successor,Date of successor 's formal installation
Illinois 2nd,Vacant,"Jesse Jackson Jr. ( D ) resigned November 21 , 2012 , near the end of the previous Congress for health reasons . A special election was held April 9 , 2013",Robin Kelly ( D ),"April 11 , 2013"
South Carolina 1st,Vacant,"Tim Scott ( R ) resigned January 2 , 2013 , near the end of the previous Congress , when appointed to the Senate . A special election was held May 7 , 2013",Mark Sanford ( R ),"May 15 , 2013"
Missouri 8th,Jo Ann Emerson ( R ),"Resigned January 22 , 2013 , to become president and CEO of the National Rural Electric Cooperative Association . A special election was held June 4 , 2013",Jason Smith ( R ),"June 5 , 2013"
Massachusetts 5th,Ed Markey ( D ),"Resigned July 16 , 2013 , having been elected to the United States Senate in a special election . A special election was held December 10 , 2013",Katherine Clark ( D ),"December 12 , 2013"
Alabama 1st,Jo Bonner ( R ),"Resigned August 2 , 2013 , to become a vice chancellor in the University of Alabama System . A special election was held December 17 , 2013",Bradley Byrne ( R ),"January 7 , 2014"
Louisiana 5th,Rodney Alexander ( R ),"Resigned September 26 , 2013 , to become the secretary of the Louisiana Department of Veterans Affairs . A special election was held November 16 , 2013",Vance McAllister ( R ),"November 21 , 2013"
Florida 13th,Bill Young ( R ),"Died October 18 , 2013 . A special election was held March 11 , 2014",David Jolly ( R ),"March 13 , 2014"
North Carolina 12th,Mel Watt ( D ),"Resigned January 6 , 2014 , to become head of the Federal Housing Finance Agency . A special election was held November 4 , 2014",Alma Adams ( D ),"November 12 , 2014"
Florida 19th,Trey Radel ( R ),"Resigned January 27 , 2014 following a conviction for cocaine possession . A special election was held June 24 , 2014",Curt Clawson ( R ),"June 25 , 2014"
New Jersey 1st,Rob Andrews ( D ),"Resigned February 18 , 2014 , to take a position at a Philadelphia law firm . A special election was held November 4 , 2014",Donald Norcross ( D ),"November 12 , 2014"
Virginia 7th,Eric Cantor ( R ),"Resigned August 18 , 2014 following his primary defeat . A special election was held November 4 , 2014",Dave Brat ( R ),"November 12 , 2014"
