Season,Event type,Location,Format,Date,Rank
2001-02,Grand Prix,Kobe,Block Constructed,18-19 August 2001,2
2001-02,Grand Prix,Fukuoka,Limited,16-17 February 2002,8
2001-02,Grand Prix,Nagoya,Team Limited,11-12 May 2002,2
2002-03,Grand Prix,Utsunomiya,Limited,12-13 October 2002,2
2003-04,Nationals,Osaka,Special,11-13 June 2004,4
2003-04,Grand Prix,Yokohama,Block Constructed,23-24 August 2004,6
2005,Pro Tour,"Columbus , Ohio",Extended,29-31 October 2004,2
2005,Grand Prix,Seattle,Extended,5-6 March 2005,3
2005,Grand Prix,Matsuyama,Limited,14-15 May 2005,6
2005,Worlds,Yokohama,Special,30 November-4 December 2005,5
2006,Pro Tour,Prague,Limited,5-7 May 2006,3
2006,Grand Prix,Toulouse,Limited,24-25 June 2006,3
2006,Grand Prix,St. Louis,Limited,22-23 July 2006,1
2006,Grand Prix,Hiroshima,Limited,19-20 August 2006,1
2007,Pro Tour,"Valencia , Spain",Extended,12-14 October 2007,4
2007,Invitational,Essen,Special,18-21 October 2007,6
2008,Grand Prix,Stuttgart,Limited,15-16 December 2007,1
2008,Pro Tour,Hollywood,Standard,23-25 May 2008,3
2008,Grand Prix,Copenhagen,Standard,23-24 August 2008,4
2008,Grand Prix,Rimini,Block Constructed,13-14 September 2008,2
