Medal,Name,Sport,Event
Gold,Aleksey Shcherbakov Vadinm Galkin Aleksey Ermichkin Dmitriy Bulkin,Acrobatic gymnastics,Men 's groups
Gold,Anna Mokhova Yuliya Lopatkina,Acrobatic gymnastics,Women 's pairs
Gold,Svetlana Kushu Yelena Avakeliyan Yekaterina Lusenko,Acrobatic gymnastics,Women 's groups
Gold,Polina Lymareva Andrey Yakovlev,Acrobatic gymnastics,Mixed pairs
Gold,Tatiana Solovyova Vladislav Oksner,Aerobic gymnastics,Mixed pairs
Gold,Yevgeny Skorzhenko,Fin swimming,Men 's 100 m
Gold,Sergei Achapov,Fin swimming,Men 's 200 m
Gold,Ilya Somov Yevgeny Skorzhenko Sergei Achapov Maksim Maksimov,Fin swimming,Men 's 4 × 100 m relay
Gold,Yevgeny Skorzhenko,Fin swimming,Men 's 50 m apnea
Gold,Anastasiya Glukhikh,Fin swimming,Women 's 200 m
Gold,Yelena Gracheva,Fin swimming,Women 's 400 m
Gold,Tatiana Komarova Lidiya Goryacheva Irina Yegoruchkina Anastasiya Kochneva,Fin swimming,Women 's 4 × 100 m relay
Gold,Anastasiya Kochneva,Fin swimming,Women 's 50 m apnea
Gold,Viktor Furazhkin,Powerlifting,Men 's −90 kg
Gold,Maria Kudinova,Powerlifting,Women 's −67.5 kg
Gold,Svetlana Miklashevich,Powerlifting,Women 's +67.5 kg
Gold,Irina Chaschina,Rhythmic gymnastics,Rope
Gold,Irina Chaschina,Rhythmic gymnastics,Hoop
Gold,Irina Chaschina,Rhythmic gymnastics,Ball
Gold,Irina Chaschina,Rhythmic gymnastics,Clubs
