Arena,Location,Province,Maximum Seating Capacity,Year Opened
Philippine Arena,Bocaue,Bulacan,"55,000",2014
Ynares Center,Antipolo,Rizal,"12,000",1990s
Jesse M. Robredo Coliseum,Naga City,Camarines Sur,"12,000",2010
( AATF Sports Complex ) Apostle Arsenio T. Ferriol Sports Complex,Imus,Cavite,"10,420",April 2010
Mayor Vitaliano D. Agan Coliseum,Zamboanga City,Zamboanga del Sur,"10,000",2002
Ormoc City Superdome,Ormoc,Leyte,"10,000",1995
Puerto Princesa City Coliseum,Puerto Princesa,Palawan,"8,000",2003
Victorias City Coliseum,Victorias,Negros Occidental,"8,000",2007
Ibalong Centrum for Recreation,Legazpi,Albay,"8,000",2010
South Cotabato Sports Complex,Koronadal,South Cotabato,"8,000",
Davao del Sur Coliseum,Digos,Davao del Sur,"7,000",2010
Dipolog City Sports Complex,Dipolog,Zamboanga del Norte,"7,000",2010
Quezon Convention Center,Lucena,Quezon,"7,000",2001
Alonte Sports Arena,Biñan,Laguna,"6,500",2013
Narciso Ramos Sports and Civic Center,Lingayen,Pangasinan,"6,100",1995
Capiz Gymnasium,Roxas,Capiz,"6,000",
Hoops Dome,Lapu-Lapu,Cebu,"6,000",2008
Lagao Gymnasium,General Santos,South Cotabato,"6,000",
"Panabo City Tourism , Cultural and Sports Center",Panabo,Davao del Norte,"6,000",2007
Polomolok Gymnasium,Polomolok,South Cotabato,"6,000",2015
