Year,Title,Role
2009,Moon,Eve Bell
2010,Clash of the Titans,Peshet
2010,Shank,Tasha
2011,Wuthering Heights,Catherine Earnshaw
2012,Now Is Good,Zoey Walker
2012,Twenty8k,Sally Weaver
2012,Spike Island,T-shirt Vendor
2013,The Truth About Emanuel,Emanuel
2013,Walking Stories,Sara Campbell
2014,The Maze Runner,Teresa
2014,Tiger House,Kelly
2014,A Plea for Grimsby,Jone 's Girlfriend
2015,Maze Runner : The Scorch Trials,Teresa
2017,Pirates of the Caribbean : Dead Men Tell No Tales,Carina Smyth
2018,Maze Runner : The Death Cure,Teresa
2019,"Extremely Wicked , Shockingly Evil and Vile",Carole Ann Boone
2019,Crawl,Haley Keller
TBA,The King 's Daughter,Marie-Joséphe D'Alember
