Team,Home town/suburb,Home ground
Ballymun United,Ballymun,Soccer Complex
Beggsboro,"Cabra , Dublin",Kilkiernan Road
Dublin University,"Trinity College , Dublin","College Park , Dublin"
Edenderry Town,Edenderry,Fr . Paul Park
Liffey Wanderers,"Irishtown , Dublin",Irishtown Stadium
Lucan United,Lucan / Leixlip,Leixlip Amenities Centre
Maynooth University Town,Maynooth University,
Mount Merrion,Sandymount / Leopardstown,Leopardstown Park
Newtown Rangers,Tallaght,Farrell Park
Peamount United,"Newcastle , South Dublin",Greenogue Astro/Grass
Sacred Heart,Dublin 24,Killinarden Hill
Shamrock Bhoys,County Wicklow,Vevay Sports Field
Templeogue United,Templeogue,St McDaras School
Tullamore Town,Tullamore,Leah Victoria Park
