Name,Team,No,Date
Red Berenson,St. Louis Blues,7,"March 7 , 2011"
Wayne Gretzky,Arizona Coyotes,99,"October 8 , 2005"
Dale Hawerchuk,Arizona Coyotes,10,"April 5 , 2007"
Bobby Hull,Arizona Coyotes,9,"October 8 , 2005"
Al MacInnis,Calgary Flames,2,"February 27 , 2012"
Joe Mullen,St. Louis Blues,7,"March 7 , 2011"
Joe Nieuwendyk,Calgary Flames,25,"March 7 , 2014"
Teppo Numminen,Arizona Coyotes,27,"January 30 , 2010"
Jeremy Roenick,Arizona Coyotes,97,"February 11 , 2012"
Thomas Steen,Arizona Coyotes,25,"January 21 , 2006"
Keith Tkachuk,Arizona Coyotes,7,"December 23 , 2011"
Keith Tkachuk,St. Louis Blues,7,"March 7 , 2011"
Garry Unger,St. Louis Blues,7,"March 7 , 2011"
Doug Wickenheiser,St. Louis Blues,14,
