,Date,Race,Country,Winner,Team
# 1,24 February,Geelong World Cup,Australia,Katheryn Mattis ( USA ),Webcor Builders Cycling Team
# 2,24 March,Trofeo Alfredo Binda-Comune di Cittiglio,Italy,Emma Pooley ( GBR ),Team Specialized Designs For Women
# 3,6 April,Tour of Flanders for Women,Belgium,Judith Arndt ( GER ),Team High Road Women
# 4,12 April,Ronde van Drenthe,Netherlands,Chantal Beltman ( NED ),Team High Road Women
# 5,23 April,La Flèche Wallonne Féminine,Belgium,Marianne Vos ( NED ),DSB Bank
# 6,4 May,Tour de Berne,Switzerland,Susanne Ljungskog ( SWE ),Menikini - Selle Italia
# 7,31 May,La Coupe du Monde Cycliste Féminine de Montréal,Canada,Judith Arndt ( GER ),Team High Road Women
# 8,30 July,Open de Suède Vårgårda,Sweden,Kori Kelley Seehafer ( USA ),Menikini - Selle Italia
# 9,1 August,Open de Suède Vårgårda TTT,Sweden,Priska Doppmann ( SUI ) Karin Thürig ( SUI ) Christiane Soeder ( AUT ) Carla Ryan ( AUS ),Cervélo-Lifeforce Pro Cycling Team
# 10,24 August,GP de Plouay-Bretagne,France,Fabiana Luperini ( ITA ),Menikini - Selle Italia
# 11,16 September,Rund um die Nürnberger Altstadt,Germany,Judith Arndt ( GER ),Team Columbia Women
