Year,Winner,Nationality,Language ( s )
2019,Pierre Michon ( 1945-）,France,French
2018,Ivan Wernisch ( 1942-）,Czech Republic,Czech
2017,Margaret Atwood ( 1939-）,Canada,English
2016,Claudio Magris ( 1939-）,Italy,Italian
2015,Eduardo Mendoza ( 1943-）,Spain,Spanish
2014,Yan Lianke ( 1958- ),China,Chinese
2013,Amos Oz ( 1939-2018）,Israel,Hebrew
2012,Daniela Hodrová ( 1946-）,Czech Republic,Czech
2011,John Banville ( 1945-）,Ireland,English
2010,Václav Havel ( 1936-2011）,Czech Republic,Czech
2009,Peter Handke ( 1942-）,Austria,German
2008,Arnošt Lustig ( 1926-2011）,Czech Republic,Czech
2007,Yves Bonnefoy ( 1923-2016 ),France,French
2006,Haruki Murakami ( 1949-）,Japan,Japanese
2005,Harold Pinter ( 1930-2008）,United Kingdom,English
2004,Elfriede Jelinek ( 1946-）,Austria,German
2003,Péter Nádas ( 1942-）,Hungary,Hungarian
2002,Ivan Klíma ( 1931-）,Czech Republic,Czech
2001,Philip Roth ( 1933-2018）,United States,English
