#,Name in French,Name in Dutch,Opened,Interchange
1,Roi Baudouin,Koning Boudewijn,1998,None
2,Heysel,Heizel,1985,Line 7
3,Houba-Brugmann,Houba-Brugmann,1985,None
4,Stuyvenbergh,Stuyvenbergh,1985,None
5,Bockstael,Bockstael,1982,None
6,Pannenhuis,Pannenhuis,1982,None
7,Belgica,Belgica,1982,None
8,Simonis ( Leopold II ),Simonis ( Leopold II ),1982,Line 2
9,Osseghem,Ossegem,1982,Line 2
10,Beekkant,Beekkant,1981,"Line 1 , Line 2 , Line 5"
11,Gare de l'Ouest,Weststation,1982,"Belgian Rail , Line 1 , Line 2 , Line 5"
12,Delacroix,Delacroix,2006,Line 2
13,Clemenceau,Clemenceau,1993,Line 2
14,Gare du Midi,Zuidstation,1988,"Belgian Rail , Thalys , Eurostar , ICE , Line 2 , Line 3 , Line 4"
15,Porte de Hal,Hallepoort,1988,Line 2
16,Hôtel des Monnaies,Munthof,1988,Line 2
17,Louise,Louiza,1988,Line 2
18,Porte de Namur,Naamsepoort,1988,Line 2
19,Trône,Troon,1988,Line 2
20,Arts-Loi,Kunst-Wet,1988,"Line 1 , Line 2 , Line 5"
