Year,Location,Gold,Silver,Bronze
2016,"Zagreb , Croatia",Les Suprêmes,Team Fintastic,Team Junost
2014,"Neuchâtel , Switzerland",Team Fintastic,Les Suprêmes,Musketeers
2012,"Gothenburg , Sweden",Team Fintastic,Musketeers,Les Suprêmes
2011,"Neuchâtel , Switzerland",Team Fintastic,Musketeers,Team Braemar
2010,"Gothenburg , Sweden",Team Fintastic,NEXXICE,Musketeers
2009,"Neuchâtel , Switzerland",Team Fintastic,NEXXICE,Musketeers
2008,"Rouen , France",Team Fintastic,Gold Ice,Musketeers
2007,"Nottingham , Great Britain",Team Fintastic,Les Suprêmes,Chicago Jazz
2006,"Helsinki , Finland",Musketeers,Team Fintastic,Chicago Jazz
2005,"Neuchâtel , Switzerland",Musketeers,Team Mystique,Gold Ice
2004,"Milan , Italy",Musketeers,Team Mystique,Gold Ice
2003,"Kungsbacka , Sweden",Musketeers,Burlington Ice Image,Les Suprêmes
2002,"Zagreb , Croatia",Ice Image,Spartak-Leader,Musketeers
2001,"Neuchâtel , Switzerland",Team Fintastic,Les Suprêmes,Superettes
