Opponent,S,Occurrences,GP,Rec,%
Pittsburgh Penguins,11,"1991 , 1992 , 1994 , 1995 , 1996 , 2000 , 2001 , 2009 , 2016 , 2017 , 2018",68,2-9,.182
New York Rangers,9,"1986 , 1990 , 1991 , 1994 , 2009 , 2011 , 2012 , 2013 , 2015",55,4-5,.444
New York Islanders,7,"1983 , 1984 , 1985 , 1986 , 1987 , 1993 , 2015",37,2-5,.286
Philadelphia Flyers,5,"1984 , 1988 , 1989 , 2008 , 2016",29,3-2,.600
Boston Bruins,3,"1990 , 1998 , 2012",17,2-1,.667
Tampa Bay Lightning,3,"2003 , 2011 , 2018",17,1-2,.333
New Jersey Devils,2,"1988 , 1990",13,1-1,.500
Buffalo Sabres,1,1998,6,1-0,1.000
Columbus Blue Jackets,1,2018,6,1-0,1.000
Ottawa Senators,1,1998,5,1-0,1.000
Toronto Maple Leafs,1,2017,6,1-0,1.000
Vegas Golden Knights,1,2018,5,1-0,1.000
Carolina Hurricanes,1,2019,7,0-1,.000
Detroit Red Wings,1,1998,4,0-1,.000
Montreal Canadiens,1,2010,7,0-1,.000
Totals,48,,282,20-28,.417
