Book,Author ( s ),Original language,First published,Approximate sales
The Hunger Games,Suzanne Collins,English,2008,29 million in U.S
The Young Guard ( Молодая гвардия ),Alexander Alexandrovich Fadeyev,Russian,1945,26 million copies in USSR
Who Moved My Cheese ?,Spencer Johnson,English,1998,26 million
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25 million
Lust for Life,Irving Stone,English,1934,25 million
The Wind in the Willows,Kenneth Grahame,English,1908,25 million
The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25 million
Virgin Soil Upturned ( Поднятая целина ),Mikhail Sholokhov,Russian,1935,24 million copies in USSR
The Celestine Prophecy,James Redfield,English,1993,23 million
The Fault in Our Stars,John Green,English,2012,23 million
The Shack,William P. Young,English,2007,22 million
Uncle Styopa ( Дядя Степа ),Sergey Mikhalkov,Russian,1936,21 million copies in USSR
The Godfather,Mario Puzo,English,1969,21 million
Love Story,Erich Segal,English,1970,21 million
Catching Fire,Suzanne Collins,English,2009,21 million in U.S
Mockingjay,Suzanne Collins,English,2010,20 million in U.S
Autobiography of a Yogi,Paramahansa Yogananda,Hindi,1946,20 million < https : //www.anandala.org/autobiography-of-a-yogi/ >
Gone Girl,Gillian Flynn,English,2012,20 million
The Girl on the Train,Paula Hawkins,English,2015,20 million
All Quiet on the Western Front ( Im Westen nichts Neues ),Erich Maria Remarque,German,1929,20 million
