Date,Men 's winner,Country,Time ( h : m : s )
"April 14 , 2019",Geart Jorritsma,Netherlands,2:26:34
"April 22 , 2018",Mohamed Oumaarir,Morocco,2:28:23
"April 23 , 2017",Jonas Roels,Belgium,2:31:10
"April 17 , 2016",David Stevens,Belgium,2:31:34
"April 19 , 2015",Evans Cheruiyot,Kenya,2:09:40
"April 27 , 2014",Elijah Sang,Kenya,2:10:21
"April 21 , 2013",Isaac Kosgei,Kenya,2:09:17
"April 22 , 2012",Ishmael Busendich,Kenya,2:09:09
"April 17 , 2011",Stephen Kiprotich,Uganda,2:07:20
"April 25 , 2010",John Kelai,Kenya,2:12:17
"April 26 , 2009",Jacob Yator,Kenya,2:09:02
"April 27 , 2008",Silas Toek,Kenya,2:10:40
"April 22 , 2007",Thomson Cherogony,Kenya,2:11:35
"April 23 , 2006",Sammy Rotich,Kenya,2:12:05
"May 15 , 2005",John Kelai,Kenya,2:11:44
"May 16 , 2004",Girma Tolla,Ethiopia,2:10:33
"May 25 , 2003",Wilson Kibet,Kenya,2:11:38
"May 26 , 2002",Raymond Kipkoech,Kenya,2:12:33
"May 27 , 2001",Mustapha Riad,Morocco,2:12:20
2000,Cancelled,-,-
