No,Player,Position,Previous club
1,Shaun Briscoe,Fullback,Hull FC
2,Peter Fox,Winger,Wakefield Trinity Wildcats
3,Chev Walker,Centre,Bath Rugby
4,Jake Webster,Centre,Gold Coast Titans
5,Liam Colbon,Winger,Wigan Warriors
6,Paul Cooke,Stand Off,Hull FC
7,Michael Dobson,Scrum-half,Canberra Raiders
8,Nick Fozzard,Prop,St. Helens
9,Ben Fisher,Hooker,Halifax
10,David Mills,Prop,Harlequins RL
11,Clint Newton,Second Row,Melbourne Storm
12,Ben Galea,Second Row,Wests Tigers
13,Scott Murrell,Loose forward,Leeds Rhinos
14,Stanley Gene,Utility,Bradford Bulls
15,Daniel Fitzhenry,Winger,Wests Tigers
16,Jason Netherton,Second row,Leeds Rhinos
17,Makali Aizue,Prop,Goroka Lahanis
18,Scott Wheeldon,Prop,Hull F.C
19,Kris Welham,Centre,Hull Kingston Rovers
20,Michael Vella,Prop,Parramatta Eels
