Arena,Capacity,Opened,Location,Country
Paris La Défense Arena,"40,000",2017,Nanterre,France
SC Olimpiyskiy,"30,000",1980,Moscow,Russia
Telenor Arena,"26,000",2009,Bærum,Norway
SCC Peterburgskiy,"25,000",1979,Saint Petersburg,Russia
Vikingskipet,"20,000",1992,Hamar,Norway
Egilshöllin,"18,000",2004,Reykjavík,Iceland
Vallhall Arena,"12,500",2001,Oslo,Norway
Sportkompleks Illichivets,"12,000",2007,Mariupol,Ukraine
Göransson Arena,"10,000",2009,Sandviken,Sweden
ABB Arena Syd,"10,000",2007,Västerås,Sweden
