Name,State,Term began,Term ended
Carmel Agius,Malta,1 July 2012,In office
Theodor Meron,United States,1 July 2012,In office
Jean-Claude Antonetti,France,1 July 2012,In office
Joseph Masanche,Tanzania,1 July 2012,In office
William H. Sekule,Tanzania,1 July 2012,In office
Lee G. Muthoga,Kenya,1 July 2012,In office
Alphons M.M . Orie,Netherlands,1 July 2012,In office
Burton Hall,"Bahamas , The",1 July 2012,In office
Florence Rita Arrey,Cameroon,1 July 2012,In office
Vagn Joensen,Denmark,1 July 2012,In office
Liu Daqun,China,1 July 2012,In office
Prisca Matimba Nyambe,Zambia,1 July 2012,In office
Aminatta Lois Runeni N'gum,"Gambia , The",1 July 2012,In office
Seon Ki Park,"Korea , South",1 July 2012,In office
José R. de Prada Solaesa,Spain,1 July 2012,In office
Gberdao Gustave Kam,Burkina Faso,1 July 2012,In office
Graciela S. Gatti Santana,Uruguay,1 July 2012,In office
Ivo Nelson de Caires Batista Rosa,Portugal,1 July 2012,In office
Seymour Panton,Jamaica,28 April 2016,In office
Elizabeth Ibanda-Nahamya,Uganda,19 March 2018,In office
