Medal,Name,Sport,Event
Gold,Fritz Strobl,Alpine Skiing,Men 's Downhill
Gold,Stephan Eberharter,Alpine Skiing,Men 's Giant Slalom
Gold,Christian Hoffmann,Cross-Country Skiing,Men 's 30 km Freestyle Mass Start
Silver,Stephan Eberharter,Alpine Skiing,Men 's Super G
Silver,Renate Götschl,Alpine Skiing,Women 's Combined
Silver,Mikhail Botwinov,Cross-country skiing,Men 's 30 km Freestyle Mass Start
Silver,Martin Rettl,Skeleton,Men 's
Bronze,Benjamin Raich,Alpine Skiing,Men 's Combined
Bronze,Stephan Eberharter,Alpine Skiing,Men 's Downhill
Bronze,Benjamin Raich,Alpine Skiing,Men 's Slalom
Bronze,Andreas Schifferer,Alpine Skiing,Men 's Super-G
Bronze,Renate Götschl,Alpine Skiing,Women 's Downhill
Bronze,Wolfgang Perner,Biathlon,Men 's 10 km Sprint
Bronze,Markus Prock,Luge,Men 's Singles
Bronze,Felix Gottwald,Nordic Combined,Men 's Individual
Bronze,Felix Gottwald,Nordic Combined,Men 's Sprint
Bronze,Christoph Bieler Michael Gruber Mario Stecher Felix Gottwald,Nordic Combined,Men 's Team
