Club,Winner,Runner-up,Winning seasons
Liaoning Whowin,8,6,"1978 , 1985 , 1987 , 1988 , 1990 , 1991 , 1992 , 1993"
Dalian Shide,8,0,"1994 , 1996 , 1997 , 1998 , 2000 , 2001 , 2002 , 2005"
Beijing Guoan,7,5,"1957 , 1958 , 1963 , 1973 , 1982 , 1984 , 2009"
Guangzhou Evergrande Taobao,8,3,"2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2019"
Bayi,5,6,"1953 , 1974 , 1977 , 1981 , 1986"
Shanghai Greenland Shenhua,4,11,"1961 , 1962 , 1995 , 2003"
Shandong Luneng Taishan,4,4,"1999 , 2006 , 2008 , 2010"
Tianjin Teda,2,5,"1960 , 1980"
North East,2,0,"1951 , 1954"
Shanghai SIPG,1,2,2018
Guangdong Hongyuan,1,1,1979
China B,1,1,1989
Shenzhen,1,1,2004
Changchun Yatai,1,1,2007
Central Sports Institute,1,0,1955
Beijing Youth B,1,0,1956
Beijing Sports Institute,1,0,1964
Yanbian Fude,1,0,1965
East China,0,2,
Jiangsu Suning,0,2,
