Round,Pick #,Overall,Name,Position,College
1,18,18,Garrett Bradbury,Center,North Carolina State
2,18,50,Irv Smith Jr,Tight end,Alabama
3,39,102,Alexander Mattison,Running back,Boise State
4,12,114,Dru Samia,Guard,Oklahoma
5,24,162,Cameron Smith,Linebacker,USC
6,18,190,Armon Watts,Defensive tackle,Arkansas
6,19,191,Marcus Epps,Safety,Wyoming
6,21,193,Olisaemeka Udoh,Offensive tackle,Elon
7,3,217,Kris Boyd,Cornerback,Texas
7,25,239,Dillon Mitchell,Wide receiver,Oregon
7,33,247,Bisi Johnson,Wide receiver,Colorado State
7,36,250,Austin Cutting,Long snapper,Air Force
