Caliber ( mm ),Weapon name,Country of origin,Period
13.2,MG 18 TuF,German Empire,World War I
25,25 mm Hotchkiss anti-tank gun,France,World War II
25,25 mm APX modèle 1937,France,World War II
25,Type 96 25 mm AT/AA Gun,Japan,World War II
28 - 20,2.8 cm sPzB 41,Nazi Germany,World War II
37,3.7 cm TAK 1918,German Empire,World War I
37,AC 37 anti-tank gun,France,World War II
37,3.7 cm PaK 35/36,Nazi Germany,World War II
37,37-mm anti-tank gun M1930 ( 1-K ),Soviet Union,World War II
37,Type 94 37 mm,Japan,World War II
37,37 mm Bofors,Sweden,World War II
37,37 mm gun M3,United States,World War II
37,"3,7cm KPÚV vz . 34",Czechoslovakia,World War II
37,"3,7cm KPÚV vz . 37",Czechoslovakia,World War II
40,Ordnance QF 2 pounder,United Kingdom,World War II
40,Vickers Type 40 mm AT/AA Gun,Japan,World War II
42 - 28,4.2 cm PaK 41,Nazi Germany,World War II
45,45 mm anti-tank gun M1932 ( 19-K ),Soviet Union,World War II
45,45-mm anti-tank gun M1937 ( 53-K ),Soviet Union,World War II
45,45-mm anti-tank gun M1942 ( M-42 ),Soviet Union,World War II
