year,Program,Channel
2007,Idea Star Singer 2007,Asianet
2008,Idea Star Singer 2008,Asianet
2009-2010,Idea Star Singer season 4,Asianet
2009,Zee Tamil Sa Re Ga Ma Pa 2009 Challenge,Zee Tamil
2010-2011,Idea Star Singer season 5,Asianet
2012,Gandharva Sangeetham,Kairali TV
2013,Super star the ultimate,Amrita TV
2013,Josco Indian voice season 2,Mazhavil Manorama
2013,Candyman Indian Voice Junior,Mazhavil Manorama
2014,Super Star,Amrita TV
2015,Bhima Indian Music League,Flowers TV
2016,Super Star Junior,Amrita TV
2018,Super 4,Mazhavil Manorama
2019-Present,Padaam namuk Paadam,Mazhavil Manorama
