Church,Dates,Location,"City , State"
Church of the Nativity of the Theotokos,1901-05 built 1980 NRHP-listed,"58°0′38″N 152°45′46″W / 58.01056°N 152.76278°W / 58.01056 ; -152.76278 ( Church of the Nativity of the Theotokos , Afognak )","Afognak , Alaska"
Protection of the Theotokos Chapel,built 1980 NRHP-listed,56°56′45″N 154°10′6″W / 56.94583°N 154.16833°W / 56.94583 ; -154.16833 ( Protection of the Theotokos Chapel ),"Akhiok , Alaska"
St. Alexander Nevsky Chapel,1878 founded 1918 built 1980 NRHP-listed,54°8′9″N 165°46′39″W / 54.13583°N 165.77750°W / 54.13583 ; -165.77750 ( St. Alexander Nevsky Chapel ),"Akutan , Alaska"
"St. John the Baptist Church ( Angoon , Alaska )",1929 built 1980 NRHP-listed,"57°30′14″N 134°35′3″W / 57.50389°N 134.58417°W / 57.50389 ; -134.58417 ( St. John the Baptist Church ( Angoon , Alaska ) )","Angoon , Alaska"
"Holy Resurrection Church ( Belkofski , Alaska )",1980 NRHP-listed,55°5′9″N 162°1′9″W / 55.08583°N 162.01917°W / 55.08583 ; -162.01917 ( Holy Resurrection Church ),"Belkofski , Alaska"
St. Sergius Chapel,1891 built 1980 NRHP-listed,61°34′18″N 159°14′26″W / 61.57167°N 159.24056°W / 61.57167 ; -159.24056 ( St. Sergius Chapel ),"Chuathbaluk , Alaska"
"St. Michael the Archangel Church ( Cordova , Alaska )",1925 built 1980 NRHP-listed,"60°32′33″N 145°44′16″W / 60.54250°N 145.73778°W / 60.54250 ; -145.73778 ( St. Michael the Archangel Church ( Cordova , Alaska ) )","Cordova , Alaska"
Old St. Nicholas Russian Orthodox Church,1972 NRHP-listed,Eklutna Village Rd,"Eklutna , Alaska"
"St. Nicholas Chapel ( Ekuk , Alaska )",built 1980 NRHP-listed,,"Ekuk , Alaska"
Sts . Sergius and Herman of Valaam Church,c.1930 built 1980 NRHP-listed,,"English Bay , Alaska"
"St. Nicholas Chapel ( Igiugig , Alaska )",1930 built 1980 NRHP-listed,"59°20′5″N 155°32′27″W / 59.33472°N 155.54083°W / 59.33472 ; -155.54083 ( St. Nicholas Chapel ( Igiugig , Alaska ) )","Igiugig , Alaska"
"St. Nicholas Russian Orthodox Church ( Juneau , Alaska )",1893 built 1973 NRHP-listed,"326 5th St. 58°18′11.65″N 134°24′32.39″W / 58.3032361°N 134.4089972°W / 58.3032361 ; -134.4089972 ( St. Nicholas Russian Orthodox Church ( Juneau , Alaska ) )","Juneau , Alaska"
Ascension of Our Lord Chapel,1888 built 1980 NRHP-listed,57°34′8″N 154°27′19″W / 57.56889°N 154.45528°W / 57.56889 ; -154.45528 ( Ascension of Our Lord Chapel ),"Karluk , Alaska"
Holy Assumption of the Virgin Mary Church,1895 built 1970 NRHP-listed,Mission and Overland Streets 60°33′10.7″N 151°16′3.4″W / 60.552972°N 151.267611°W / 60.552972 ; -151.267611 ( Holy Assumption of the Virgin Mary Church ),"Kenai , Alaska"
"Holy Resurrection Church ( Kodiak , Alaska )",1796 founded 1945 built 1977 NRHP-listed,"Mission Road and Kashevaroff Street 57°47′18.4″N 152°24′10″W / 57.788444°N 152.40278°W / 57.788444 ; -152.40278 ( Holy Resurrection Church ( Kodiak , Alaska ) )","Kodiak , Alaska"
"St. Nicholas Russian Orthodox Church ( Kwethluk , Alaska )",built 1991 NRHP-listed,Lower Kuskokim R,"Kwethluk , Alaska"
Sts . Constantine and Helen Chapel,built 1980 NRHP-listed,,"Lime Village , Alaska"
St. Seraphim Chapel,1800s built 1980 NRHP-listed,61°30′45″N 160°21′29″W / 61.51250°N 160.35806°W / 61.51250 ; -160.35806 ( St. Seraphim Chapel ),"Lower Kalskag , Alaska"
"St. John the Baptist Chapel ( Naknek , Alaska )",built 1980 NRHP-listed,,"Naknek , Alaska"
"St. Jacob 's Church ( Napaskiak , Alaska )",1980 NRHP-listed,"60°42′30″N 161°45′47″W / 60.70833°N 161.76306°W / 60.70833 ; -161.76306 ( St. Jacob 's Church ( Napaskiak , Alaska ) )","Napaskiak , Alaska"
