District,Name,Party,Location
1,Kyle Johansen,Republican,Ketchikan
2,Peggy Wilson,Republican,Wrangell
3,Beth Kerttula,Democratic,Juneau
4,Andrea Doll,Democratic,Juneau
5,Bill Thomas,Republican,Haines
6,Woodie Salmon,Democratic,Beaver
7,Mike Kelly,Republican,Fairbanks
8,David Guttenberg,Democratic,Fairbanks
9,Scott Kawasaki,Democratic,Fairbanks
10,Jay Ramras,Republican,Fairbanks
11,"John B. Coghill , Jr",Republican,North Pole
12,John L. Harris,Republican,Valdez
13,Carl J. Gatto,Republican,Palmer
14,Vic Kohring,Republican,Wasilla
15,Mark A. Neuman,Republican,Wasilla
16,Bill Stoltze,Republican,Chugiak / Mat-Su
17,Anna I. Fairclough,Republican,Eagle River
18,Nancy A. Dahlstrom,Republican,Anchorage
19,Bob Roses,Republican,Anchorage
20,Max Gruenberg,Democratic,Anchorage
