Year,Winner,Score,Opponent,Most Outstanding Player,Venue
1977,Duquesne,57-54,Villanova,"Norm Nixon , Duquesne",The Spectrum
1978,Villanova,63-59,West Virginia,"Alex Bradley , Villanova",Civic Arena
1979,Rutgers,61-57,Pittsburgh,"James Bailey , Rutgers",Civic Arena
1980,Villanova,74-62,West Virginia,"Lowes Moore , West Virginia",Civic Arena
1981,Pittsburgh,64-60,Duquesne,"Lenny McMillan , Pittsburgh",Civic Arena
1982,Pittsburgh,78-72,West Virginia,"Clyde Vaughan , Pittsburgh",Civic Arena
1983,West Virginia,86-78,Temple,"Terence Stansbury , Temple",The Spectrum
1984,West Virginia,59-56,St. Bonaventure,"Lester Rowe , West Virginia",WVU Coliseum
1985,Temple,59-51,Rutgers,"Granger Hall , Temple",Rutgers Athletic Center
1986,Saint Joseph 's,72-64,West Virginia,"Greg Mullee , Saint Joseph 's",Brendan Byrne Arena
1987,Temple,70-57,George Washington,"Nate Blackwell , Temple",McGonigle Hall
1988,Temple,68-63,Rhode Island,"Tom Garrick , Rhode Island",WVU Coliseum
1989,Rutgers,70-66,Penn State,"Tom Savage , Rutgers",Louis Brown Athletic Center
1990,Temple,53-51,UMass,"Mark Macon , Temple",McGonigle Hall
1991,Penn State,81-75,George Washington,"Freddie Barnes , Penn State",Rec Hall
1992,UMass,97-91,West Virginia,"Harper Williams , UMass",Curry Hicks Cage
1993,UMass,69-61,Temple,"Harper Williams , UMass",Mullins Center
1994,UMass,70-59,Temple,"Mike Williams , UMass",Mullins Center
1995,UMass,63-44,Temple,"Lou Roe , Massachusetts",Mullins Center
1996,UMass,76-61,Temple,"Carmelo Travieso , UMass",Philadelphia Civic Center
