Team,Location,Stadium,Stadium capacity
Perak YBU FC,Ipoh,Perak Stadium,"40,000"
Kuantan FA,Kuantan,Darulmakmur Stadium,"40,000"
Cebagoo FC,Sepanggar,UMS Stadium,"3,000"
PB Melayu Kedah,Kedah,Jitra Mini Stadium,300
Malacca FA,Malacca,Hang Tuah Stadium,"15,000"
PBAPP FC,Penang,Bandaraya Stadium,"20,000"
Penang FA,Penang,Bandaraya Stadium,"20,000"
Shahzan Muda FC,Temerloh,Temerloh Mini Stadium,"4,000"
Tentera Darat FC,Kuala Lumpur,"Football Field , Batu Kentomen Camp",500
Tumpat FA,Tumpat,Sultan Muhammad IV Stadium,"30,000"
Harimau Muda C,Kuala Lumpur,various,100
