Name,Nationality,From,To
Chima Okorie,Nigeria,20 February 2007,7 April 2007
Carlos Roberto Pereira,Brazil,August 2007,May 2008
Karim Bencherifa,Morocco,June 2008,January 2010
Satyajit Chatterjee,India,January 2010,March 2010
Biswajit Bhattacharya,India,31 March 2010,4 June 2010
Stanley Rozario,India,4 June 2010,13 December 2010
Subhash Bhowmick,India,14 December 2010,1 June 2011
Steve Darby,England,19 July 2011,15 October 2011
Prasanta Banerjee,India,19 October 2011,26 May 2012
Santosh Kashyap,India,26 May 2012,13 October 2012
Mridul Banerjee,India,19 October 2012,20 November 2012
Karim Bencherifa,Morocco,21 November 2012,27 April 2014
Subhash Bhowmick,India,29 April 2014,7 December 2014
Sanjoy Sen,India,9 December 2014,2 January 2018
Sankarlal Chakraborty,India,3 January 2018,6 January 2019
Khalid Ahmed Jamil,India,7 January 2019,10 May 2019
Kibu Vicuña,Spain,10 May 2019,Present
