No,Position,Player,Nation
1,Goalkeeper,Jeff Attinella,United States
2,Defender,Daniel Scott,United States
3,Defender,Andres Arango,Canada
4,Midfielder,Stuart Campbell,Scotland
5,Defender,J. P. Rodrigues,Guyana
6,Forward,Matt Clare,United States
7,Defender,Frank Sanfilippo ( captain ),United States
8,Forward,Luke Mulholland,England
9,Forward,Dan Antoniuk,United States
11,Midfielder,Shane Hill,England
13,Defender,Thurstan Johnson,United States
14,Defender,Draymond Washington,United States
15,Forward,Mike Ambersley,United States
18,Midfielder,Dan O'Brien,United States
19,Defender,Eddie Ababio,United States
20,Forward,Evans Frimpong,Ghana
22,Midfielder,Keith Savage,United States
23,Forward,Fabrice Picault,United States
24,Goalkeeper,Andrew Fontein,United States
25,Forward,Carl Cort,Guyana
