Team,Location,Venue,Capacity
Aktobe,Aktobe,Aktobe Central Stadium,"13,500"
Akzhayik,Oral,Petr Atoyan Stadium,"8,320"
Astana,Astana,Astana Arena,"30,000"
Atyrau,Atyrau,Munaishy Stadium,"9,000"
Irtysh,Pavlodar,Pavlodar Central Stadium,"15,000"
Kairat,Almaty,Almaty Central Stadium,"25,057"
Ordabasy,Shymkent,Kazhimukan Munaitpasov Stadium,"37,000"
Shakhter,Karagandy,Shakhter Stadium,"19,000"
Taraz,Taraz,Taraz Central Stadium,"12,525"
Tobol,Kostanay,Kostanay Central Stadium,"0 8,323"
Vostok,Oskemen,Vostok Stadium,"0 8,500"
Zhetysu,Taldykorgan,Zhetysu Stadium,"0 4,000"
